uid,mod0,mod1,mod2,mod3,mod4,mod5
id-1,True,True,True,False,True,True
id-2,False,True,True,False,True,True
id-3,False,True,True,True,True,True
id-4,False,True,True,True,True,True
id-5,True,True,True,True,True,True
id-6,True,True,True,True,True,True
id-7,True,True,False,True,True,True
id-8,True,True,True,True,True,True
id-9,False,True,True,True,True,True
id-10,False,True,False,True,True,True
id-11,False,True,True,True,True,False
id-12,True,False,True,False,False,True
id-13,True,True,True,False,True,True
id-14,True,True,True,True,True,True
id-15,False,True,True,False,True,True
id-16,False,True,True,True,True,False
id-17,False,True,True,True,True,False
id-18,False,True,True,True,True,True
id-19,False,True,True,True,True,True
id-20,False,True,True,True,True,True
id-21,False,True,True,True,True,True
id-22,False,True,True,True,True,True
id-23,False,True,True,True,True,False
id-24,False,True,True,True,True,True
id-25,True,False,True,True,True,False
id-26,True,True,True,True,False,True
id-27,True,True,True,True,True,True
id-28,False,True,True,True,True,True
id-29,False,True,True,True,True,False
id-30,False,True,True,True,True,True
id-31,False,True,True,True,True,False
id-32,False,True,True,True,True,True
id-33,True,True,True,True,True,True
id-34,False,True,True,True,True,True
id-35,False,True,True,True,True,True
id-36,False,True,True,False,True,True
id-37,False,True,False,True,True,False
id-38,False,True,True,True,False,True
id-39,True,True,True,False,False,True
id-40,True,True,True,False,True,True
id-41,True,True,True,True,True,True
id-42,False,True,True,True,True,True
id-43,False,True,True,True,True,True
id-44,False,False,True,True,True,True
id-45,False,True,True,True,True,True
id-46,False,True,True,True,True,True
id-47,False,True,True,True,False,True
id-48,True,True,True,True,True,True
id-49,False,True,True,True,True,True
id-50,True,False,True,True,True,True
id-51,False,True,True,True,True,True
id-52,False,True,True,True,True,True
id-53,False,True,True,True,True,True
id-54,False,True,True,True,True,False
id-55,False,False,True,True,True,True
id-56,False,True,True,True,True,True
id-57,False,True,True,True,True,True
id-58,True,True,True,True,True,True
id-59,True,True,True,True,False,True
id-60,True,True,True,True,True,True
id-61,True,True,False,True,True,True
id-62,False,True,False,True,False,True
id-63,False,True,True,True,True,False
id-64,True,True,True,True,True,True
id-65,False,True,True,True,True,True
id-66,False,True,False,True,True,True
id-67,True,True,True,True,True,True
id-68,True,True,True,True,True,True
id-69,False,True,True,True,True,True
id-70,True,True,True,True,True,True
id-71,True,True,True,True,True,True
id-72,False,True,True,True,True,True
id-73,True,False,True,True,True,True
id-74,True,True,True,True,True,True
id-75,True,True,True,True,True,True
id-76,False,True,False,True,True,True
id-77,True,True,True,True,True,True
id-78,False,True,True,True,True,True
id-79,False,False,True,True,False,True
id-80,True,True,True,True,True,True
id-81,True,True,True,True,True,True
id-82,False,False,True,True,True,True
id-83,False,True,True,True,True,True
id-84,False,True,False,False,True,True
id-85,True,True,True,False,True,True
id-86,True,True,True,False,True,True
id-87,False,True,True,True,True,True
id-88,False,True,True,True,True,True
id-89,True,True,True,True,True,True
id-90,False,True,True,True,True,True
id-91,False,True,True,True,True,True
id-92,True,True,True,True,False,True
id-93,True,False,True,False,False,False
id-94,False,True,True,False,True,True
id-95,False,True,True,True,True,True
id-96,False,True,True,True,True,True
id-97,True,True,True,True,True,True
id-98,True,True,True,True,True,True
id-99,True,True,True,True,True,True
id-100,False,True,True,True,True,False
id-101,False,True,True,True,True,True
id-102,True,True,True,True,True,False
id-103,True,True,False,True,False,True
id-104,False,True,True,True,False,True
id-105,False,True,True,True,True,True
id-106,True,False,True,False,False,True
id-107,True,True,True,True,True,True
id-108,False,True,True,True,True,True
id-109,False,True,False,False,True,True
id-110,True,True,True,True,False,True
id-111,True,True,True,True,True,False
id-112,True,True,True,True,True,True
id-113,True,True,True,True,True,True
id-114,True,True,True,False,True,True
id-115,False,True,True,True,False,True
id-116,False,True,True,True,False,True
id-117,False,True,False,True,True,True
id-118,True,True,True,True,True,False
id-119,False,True,True,True,True,True
id-120,False,True,True,True,True,True
id-121,False,True,True,True,True,True
id-122,True,True,False,True,True,True
id-123,False,True,True,True,True,True
id-124,False,False,True,True,True,True
id-125,True,True,False,True,True,True
id-126,False,True,True,True,False,True
id-127,True,True,True,False,True,False
id-128,True,True,True,True,True,True
id-129,False,True,False,True,True,True
id-130,True,True,True,True,True,True
id-131,True,True,True,True,True,True
id-132,False,True,True,True,True,True
id-133,False,True,False,True,True,True
id-134,False,True,True,True,True,True
id-135,True,False,True,True,True,True
id-136,False,False,True,True,True,True
id-137,False,True,True,True,True,True
id-138,False,True,True,True,True,False
id-139,False,True,True,True,True,True
id-140,True,True,True,True,True,True
id-141,True,True,True,True,True,True
id-142,True,True,True,True,True,False
id-143,False,True,True,False,True,True
id-144,False,True,True,True,True,True
id-145,True,True,True,True,True,False
id-146,True,True,True,True,True,True
id-147,True,False,False,True,True,True
id-148,False,True,True,True,True,True
id-149,False,True,True,True,True,True
id-150,False,True,True,True,True,True
id-151,False,True,True,False,True,True
id-152,False,True,True,False,True,True
id-153,False,True,True,True,False,True
id-154,True,True,True,True,False,True
id-155,False,True,True,True,True,True
id-156,False,True,True,True,True,False
id-157,False,True,True,True,True,True
id-158,False,True,True,True,True,True
id-159,True,True,True,True,False,True
id-160,False,True,True,True,True,True
id-161,False,False,True,True,True,True
id-162,False,True,True,True,False,True
id-163,True,True,True,True,True,True
id-164,True,True,True,True,True,True
id-165,True,True,True,False,True,True
id-166,True,True,True,True,True,True
id-167,True,True,True,True,True,True
id-168,True,True,True,True,True,False
id-169,True,True,True,True,True,False
id-170,False,True,True,True,True,True
id-171,False,True,True,True,True,True
id-172,True,True,True,True,True,True
id-173,False,True,True,True,True,True
id-174,True,True,True,False,True,True
id-175,False,True,True,True,True,True
id-176,False,True,True,True,True,True
id-177,False,True,True,True,True,True
id-178,False,True,True,True,True,True
id-179,False,True,True,True,True,True
id-180,False,True,True,True,False,True
id-181,True,True,True,True,True,True
id-182,False,True,True,False,True,False
id-183,True,True,True,True,True,True
id-184,False,True,True,True,True,True
id-185,False,True,True,False,True,True
id-186,True,True,False,True,True,True
id-187,True,True,True,True,True,False
id-188,False,True,True,True,True,True
id-189,False,True,True,True,True,True
id-190,True,True,True,True,True,True
id-191,False,True,True,True,True,True
id-192,False,True,True,True,True,True
id-193,True,True,True,True,True,True
id-194,False,True,True,True,True,True
id-195,False,True,True,True,True,False
id-196,False,True,True,True,True,True
id-197,True,True,True,True,True,True
id-198,True,True,True,True,True,True
id-199,True,False,True,True,True,True
id-200,False,True,True,True,True,True
id-201,False,True,True,True,True,True
id-202,True,False,True,True,False,False
id-203,True,True,True,True,True,True
id-204,False,True,True,True,True,True
id-205,True,False,True,True,True,True
id-206,True,True,True,True,True,True
id-207,False,False,True,True,True,False
id-208,False,True,True,True,True,True
id-209,False,True,True,True,True,True
id-210,False,True,True,True,True,True
id-211,False,True,True,True,False,True
id-212,False,True,True,False,False,True
id-213,False,True,True,True,True,True
id-214,True,True,True,True,True,True
id-215,False,True,True,True,False,True
id-216,False,False,True,True,True,True
id-217,False,True,False,True,True,True
id-218,True,True,True,True,True,True
id-219,True,True,True,True,True,True
id-220,True,False,True,True,True,True
id-221,True,True,True,True,True,True
id-222,False,True,True,True,True,True
id-223,True,True,True,True,True,True
id-224,False,True,True,True,True,True
id-225,False,True,True,True,True,False
id-226,False,True,True,True,True,True
id-227,True,True,True,True,True,True
id-228,False,True,True,True,True,True
id-229,False,True,True,True,False,False
id-230,False,True,True,True,True,False
id-231,True,True,True,True,True,True
id-232,False,True,True,False,True,False
id-233,False,True,True,True,True,True
id-234,False,True,True,True,True,True
id-235,False,True,False,True,True,True
id-236,False,True,True,False,True,True
id-237,False,True,True,True,True,True
id-238,True,True,True,True,True,True
id-239,False,True,True,True,True,True
id-240,True,False,True,True,True,True
id-241,False,True,True,True,True,True
id-242,True,True,True,True,True,True
id-243,True,True,True,False,True,True
id-244,True,False,True,True,True,True
id-245,False,True,True,True,True,True
id-246,False,True,True,True,True,True
id-247,False,True,True,True,True,False
id-248,False,True,True,True,True,True
id-249,True,True,True,True,True,True
id-250,False,True,True,True,True,False
id-251,True,True,True,True,True,True
id-252,True,True,True,False,True,True
id-253,False,True,True,True,True,True
id-254,True,True,True,True,True,True
id-255,True,False,True,True,True,True
id-256,True,True,False,True,True,True
id-257,False,True,True,True,True,True
id-258,True,True,True,True,True,True
id-259,False,True,True,True,True,False
id-260,False,True,False,True,True,True
id-261,True,True,True,False,True,True
id-262,False,True,True,True,True,True
id-263,False,True,False,True,True,True
id-264,True,True,True,True,True,True
id-265,True,True,True,True,False,True
id-266,False,True,True,True,True,True
id-267,False,True,True,True,True,True
id-268,False,True,True,True,True,True
id-269,False,True,True,True,True,True
id-270,True,True,True,True,True,True
id-271,True,True,True,False,True,True
id-272,True,True,True,True,True,True
id-273,True,True,True,True,True,True
id-274,True,True,True,True,True,True
id-275,False,True,True,True,True,True
id-276,True,True,True,True,True,True
id-277,False,True,True,True,True,True
id-278,True,True,True,True,False,True
id-279,False,False,True,True,True,True
id-280,False,True,True,True,True,True
id-281,True,True,True,True,True,True
id-282,True,True,True,True,True,True
id-283,True,True,True,True,True,True
id-284,False,False,True,False,True,True
id-285,True,True,True,False,True,False
id-286,False,True,True,True,True,False
id-287,False,True,True,True,True,True
id-288,True,True,True,True,True,True
id-289,False,True,True,False,True,True
id-290,True,True,True,True,True,True
id-291,True,True,True,True,True,True
id-292,False,True,True,True,True,True
id-293,False,True,True,True,True,True
id-294,True,True,True,True,True,True
id-295,False,True,True,False,True,True
id-296,False,True,True,False,True,True
id-297,False,True,True,True,True,True
id-298,False,True,True,True,True,False
id-299,False,True,True,True,True,True
id-300,False,True,True,True,True,False
id-301,True,True,True,True,True,True
id-302,False,True,True,True,False,True
id-303,True,True,True,True,True,True
id-304,True,True,True,True,True,True
id-305,False,True,True,True,True,True
id-306,True,True,True,True,True,True
id-307,True,True,False,True,True,True
id-308,False,True,True,True,True,True
id-309,False,True,True,True,True,True
id-310,True,False,True,True,True,True
id-311,False,True,True,True,True,True
id-312,True,True,True,False,True,True
id-313,False,True,True,True,True,True
id-314,False,True,True,True,True,True
id-315,True,False,True,False,True,True
id-316,False,True,True,True,True,True
id-317,False,False,True,True,True,True
id-318,False,False,True,True,True,True
id-319,True,True,False,True,True,True
id-320,False,True,True,True,True,True
id-321,True,True,True,True,False,True
id-322,False,True,True,True,True,True
id-323,False,True,True,True,True,False
id-324,True,True,True,True,True,True
id-325,True,True,False,True,True,True
id-326,True,True,True,True,True,True
id-327,True,True,True,True,True,True
id-328,False,False,True,False,True,False
id-329,False,True,True,False,True,True
id-330,True,True,True,True,True,True
id-331,True,True,False,False,True,True
id-332,True,True,True,True,True,True
id-333,True,False,True,True,True,True
id-334,True,True,True,False,True,True
id-335,False,True,True,True,True,True
id-336,True,True,True,True,True,True
id-337,False,False,True,True,True,True
id-338,False,True,True,True,True,True
id-339,True,True,True,True,True,True
id-340,True,True,True,True,True,True
id-341,True,True,True,True,True,True
id-342,True,True,True,True,True,True
id-343,False,True,True,True,True,True
id-344,False,True,True,True,True,False
id-345,False,False,True,True,True,True
id-346,False,False,True,True,True,True
id-347,False,True,False,False,True,True
id-348,True,True,True,True,True,True
id-349,False,True,True,True,True,True
id-350,False,True,False,True,True,True
id-351,False,True,True,True,True,False
id-352,True,True,True,True,True,True
id-353,False,True,True,True,False,True
id-354,False,True,True,True,True,True
id-355,True,True,True,True,True,True
id-356,False,True,True,True,True,True
id-357,False,True,True,True,True,True
id-358,True,True,False,True,True,True
id-359,True,True,True,False,True,False
id-360,False,True,True,True,True,True
id-361,False,True,True,True,True,True
id-362,False,True,True,True,True,True
id-363,False,True,True,True,True,True
id-364,True,True,True,True,True,True
id-365,False,False,True,True,True,True
id-366,False,True,True,True,False,True
id-367,True,True,True,True,True,True
id-368,True,True,True,True,True,True
id-369,True,False,True,True,True,True
id-370,False,True,True,True,True,True
id-371,False,False,True,True,True,True
id-372,False,True,True,True,True,True
id-373,True,True,True,True,True,True
id-374,False,True,True,True,True,True
id-375,True,True,True,True,True,True
id-376,False,False,True,True,True,True
id-377,False,False,True,True,True,True
id-378,True,True,True,True,True,True
id-379,False,True,True,True,True,True
id-380,True,True,True,True,True,True
id-381,False,True,True,True,True,True
id-382,False,True,True,True,True,True
id-383,False,False,True,True,True,True
id-384,False,True,True,True,True,True
id-385,False,True,True,True,True,False
id-386,True,True,True,True,True,True
id-387,True,True,True,True,True,True
id-388,False,True,True,True,True,True
id-389,True,True,True,True,True,True
id-390,True,False,True,True,True,True
id-391,True,False,True,True,True,True
id-392,True,True,True,True,True,True
id-393,True,True,True,True,False,True
id-394,False,True,True,True,True,True
id-395,False,True,True,True,True,True
id-396,True,True,True,True,True,True
id-397,True,True,True,True,True,False
id-398,False,True,True,True,True,True
id-399,True,True,True,True,True,True
id-400,True,True,True,True,True,True
id-401,True,True,True,True,True,True
id-402,True,True,True,True,True,False
id-403,False,True,True,True,True,True
id-404,True,True,True,False,True,True
id-405,False,True,True,True,True,True
id-406,False,True,True,True,True,True
