uid,mod0,mod1,mod2,mod3,mod4,mod5
id-1,False,True,True,True,True,True
id-2,True,True,True,True,True,True
id-3,True,True,True,True,True,True
id-4,False,True,True,True,True,True
id-5,False,True,True,True,True,True
id-6,True,False,True,False,True,False
id-7,False,True,True,True,False,True
id-8,False,False,True,True,False,True
id-9,True,True,True,True,True,True
id-10,False,True,True,True,True,True
id-11,True,True,True,False,True,True
id-12,True,True,True,False,True,True
id-13,False,False,True,True,False,True
id-14,False,True,True,True,True,True
id-15,False,False,True,True,False,True
id-16,False,True,True,True,True,True
id-17,False,False,True,True,True,False
id-18,True,True,True,True,False,True
id-19,False,True,False,True,False,True
id-20,True,True,True,True,True,True
id-21,False,True,True,True,True,True
id-22,True,False,True,False,False,False
id-23,False,True,True,True,True,True
id-24,False,False,True,True,True,True
id-25,True,True,True,True,True,False
id-26,True,True,False,True,True,True
id-27,False,True,True,True,True,False
id-28,False,False,True,True,True,True
id-29,True,True,True,True,True,True
id-30,False,True,True,True,True,True
id-31,True,True,True,True,True,True
id-32,True,True,True,True,False,True
id-33,False,True,True,False,False,False
id-34,False,True,True,True,False,True
id-35,True,True,True,False,True,True
id-36,True,True,True,True,True,True
id-37,False,True,False,True,True,True
id-38,True,True,False,True,True,True
id-39,False,True,False,False,True,True
id-40,True,True,True,True,True,True
id-41,False,True,False,True,True,True
id-42,False,True,True,True,True,True
id-43,True,False,True,False,True,True
id-44,False,True,True,True,True,True
id-45,False,True,True,True,True,True
id-46,True,False,True,False,False,True
id-47,True,True,False,True,True,True
id-48,True,True,True,True,True,True
id-49,False,True,True,True,True,True
id-50,True,True,False,True,True,False
id-51,False,False,True,False,True,True
id-52,False,True,True,True,True,True
id-53,False,True,True,True,True,True
id-54,False,True,True,True,False,True
id-55,False,True,True,False,True,False
id-56,True,True,True,True,True,True
id-57,False,True,True,True,True,False
id-58,False,True,True,True,True,True
id-59,False,True,True,True,True,True
id-60,True,True,True,True,False,True
id-61,True,True,True,True,True,True
id-62,False,True,False,False,True,True
id-63,True,True,False,True,True,True
id-64,False,True,False,True,False,False
id-65,False,True,True,True,True,True
id-66,False,True,True,True,True,True
id-67,True,True,True,True,True,True
id-68,False,False,True,False,True,True
id-69,False,True,True,False,False,True
id-70,False,True,True,False,False,False
id-71,False,True,True,True,False,True
id-72,False,True,True,True,True,True
id-73,False,True,True,False,True,True
id-74,True,True,True,True,False,True
id-75,False,True,True,True,False,True
id-76,True,True,True,True,True,True
id-77,True,False,True,False,True,False
id-78,False,True,True,True,True,True
id-79,False,True,True,True,False,True
id-80,True,False,False,False,True,True
id-81,False,False,True,True,True,True
id-82,True,True,True,False,True,True
id-83,False,True,True,True,True,True
id-84,False,False,True,True,True,True
id-85,False,False,True,True,False,True
id-86,False,True,True,True,True,True
id-87,False,True,True,False,True,True
id-88,True,True,False,True,False,True
id-89,False,False,True,True,True,False
id-90,False,False,True,True,False,True
id-91,False,True,False,True,False,True
id-92,True,False,False,False,True,True
id-93,False,False,False,True,False,True
id-94,False,True,True,True,False,True
id-95,True,True,True,True,True,True
id-96,False,True,True,True,False,True
id-97,False,True,True,False,False,True
id-98,False,True,True,True,True,True
id-99,False,True,True,True,False,True
id-100,False,True,True,False,True,True
id-101,False,False,False,True,True,True
id-102,False,True,True,True,True,True
id-103,False,True,True,True,True,False
id-104,False,True,True,True,True,True
id-105,True,True,False,True,True,True
id-106,True,True,False,True,True,True
id-107,False,True,True,True,True,True
id-108,False,True,True,False,False,True
id-109,True,True,True,True,True,True
id-110,False,True,True,True,False,False
