uid,mod0,mod1,mod2,mod3,mod4,mod5
id-1,False,False,True,True,True,True
id-2,False,True,True,True,False,True
id-3,False,False,False,True,True,True
id-4,True,True,True,False,True,False
id-5,False,False,True,True,True,True
id-6,False,True,True,True,False,False
id-7,False,True,True,True,True,True
id-8,False,False,True,False,True,True
id-9,False,True,False,True,True,False
id-10,True,True,True,True,True,False
id-11,False,False,True,True,True,True
id-12,False,True,False,True,True,True
id-13,False,True,False,False,True,True
id-14,False,True,True,True,True,False
id-15,False,True,True,True,True,True
id-16,False,True,True,True,True,True
id-17,False,True,True,False,True,True
id-18,False,True,False,True,True,False
id-19,False,True,True,True,True,True
id-20,False,True,False,False,True,True
id-21,False,True,True,True,True,True
id-22,False,False,True,False,True,True
id-23,False,True,True,True,True,True
id-24,False,False,True,True,True,True
id-25,False,True,False,False,False,False
id-26,True,True,False,False,False,True
id-27,False,True,True,True,False,True
id-28,False,True,True,True,True,True
id-29,False,True,True,True,True,False
id-30,False,False,True,True,True,False
id-31,False,True,False,False,False,True
id-32,False,True,False,True,True,True
id-33,False,True,True,False,True,False
id-34,False,True,True,True,True,False
id-35,False,True,False,True,False,False
id-36,False,True,True,False,False,True
id-37,True,True,True,True,True,True
id-38,True,True,False,False,True,True
id-39,False,True,True,False,True,True
id-40,False,True,True,True,False,True
id-41,False,True,True,True,True,True
id-42,False,False,True,True,False,True
id-43,True,True,False,True,True,True
id-44,False,True,True,True,False,False
id-45,False,True,False,True,True,True
id-46,True,False,True,True,False,True
id-47,False,True,True,True,True,True
id-48,False,True,True,True,False,True
id-49,False,False,True,True,True,True
id-50,False,False,True,True,False,True
id-51,False,False,True,False,True,True
id-52,False,True,True,True,True,True
id-53,True,True,False,True,True,False
id-54,False,True,True,True,True,True
id-55,False,True,True,True,True,True
id-56,True,False,False,False,True,True
id-57,True,True,False,False,True,True
id-58,False,True,False,True,True,True
id-59,False,True,False,True,True,False
id-60,False,False,True,True,False,True
id-61,False,True,True,True,True,False
id-62,False,False,True,False,True,True
id-63,False,True,True,True,False,False
id-64,False,False,True,True,False,True
id-65,True,True,False,True,True,False
id-66,False,True,True,True,False,True
id-67,True,True,True,True,True,False
