uid,mod0,mod1,mod2,mod3,mod4,mod5
id-1,False,True,False,False,True,True
id-2,True,False,False,False,True,True
id-3,False,False,True,False,True,False
id-4,True,False,False,True,True,True
id-5,True,True,True,False,True,True
id-6,False,False,True,True,False,False
id-7,False,True,True,True,True,True
id-8,False,True,True,False,False,False
id-9,False,False,False,True,False,True
id-10,False,True,True,True,False,False
id-11,False,True,True,True,True,True
id-12,False,False,False,False,True,False
id-13,False,False,False,True,True,False
id-14,False,True,True,False,False,True
id-15,False,False,True,True,True,True
id-16,False,False,True,True,True,False
id-17,False,True,True,False,True,False
id-18,False,False,False,False,False,True
id-19,False,True,True,True,False,True
id-20,False,False,True,False,True,False
id-21,False,True,True,False,True,True
id-22,True,True,True,True,True,True
id-23,False,True,True,True,False,True
id-24,True,True,True,False,True,False
id-25,False,False,True,False,False,True
id-26,False,True,True,False,True,True
id-27,False,False,True,True,True,False
id-28,False,True,False,True,True,True
id-29,False,True,False,False,True,False
id-30,False,True,True,True,False,True
id-31,False,True,False,True,True,False
id-32,True,False,True,False,True,False
id-33,False,False,True,True,False,True
id-34,False,True,True,False,True,True
id-35,False,True,False,True,True,False
id-36,False,True,False,False,False,True
id-37,False,True,True,True,True,True
id-38,False,True,True,True,True,True
id-39,False,False,True,True,False,True
id-40,False,False,True,True,False,False
id-41,False,False,False,True,True,True
id-42,False,True,False,False,False,False
id-43,False,True,True,True,False,True
id-44,False,True,False,True,True,False
id-45,False,False,False,False,True,False
id-46,False,True,False,True,False,True
id-47,False,True,True,False,False,False
id-48,False,True,True,True,True,False
id-49,False,True,False,True,True,False
id-50,False,True,True,True,True,False
id-51,False,True,True,False,True,False
id-52,True,False,True,False,False,True
id-53,False,False,True,True,True,False
id-54,True,True,True,False,False,False
id-55,False,False,True,False,True,False
id-56,False,False,True,False,True,True
id-57,False,False,False,True,True,True
id-58,False,True,True,False,True,False
id-59,False,True,False,False,True,True
id-60,True,True,False,True,True,True
id-61,False,True,True,False,False,False
id-62,False,True,True,True,False,False
