uid,mod0,mod1,mod2,mod3,mod4,mod5
id-1,False,True,False,False,True,True
id-2,False,False,False,True,False,True
id-3,False,False,False,False,True,True
id-4,False,True,False,True,True,False
id-5,False,False,True,True,True,False
id-6,False,True,False,True,True,True
id-7,False,False,True,True,False,False
id-8,False,True,False,True,False,True
id-9,False,True,False,True,False,False
id-10,False,False,True,False,True,True
id-11,False,False,False,False,True,False
id-12,False,True,True,False,False,True
id-13,False,False,False,False,False,True
id-14,False,True,False,False,False,False
id-15,False,False,True,False,True,False
id-16,False,False,False,False,True,False
id-17,False,False,False,True,True,True
id-18,False,True,False,True,False,True
id-19,False,False,False,False,True,True
id-20,False,True,False,True,True,True
id-21,False,False,False,False,True,True
id-22,False,False,True,True,True,True
id-23,False,True,True,False,False,False
id-24,False,False,False,False,False,True
id-25,False,True,True,True,True,False
id-26,False,False,False,False,False,False
id-27,False,False,True,True,False,False
id-28,False,False,True,True,True,False
id-29,False,True,False,False,True,True
id-30,False,False,True,True,True,True
id-31,False,True,True,True,True,False
id-32,False,False,True,True,False,False
id-33,False,True,True,False,False,True
id-34,False,False,False,False,False,False
id-35,False,True,False,True,False,False
id-36,False,False,True,True,True,True
id-37,False,False,True,True,True,True
id-38,False,True,True,True,False,True
id-39,False,True,False,False,True,False
id-40,False,False,True,False,False,True
id-41,False,True,True,False,False,False
id-42,False,True,False,False,False,False
id-43,False,True,False,True,True,True
id-44,False,False,True,False,True,False
id-45,False,False,True,True,True,False
id-46,False,True,False,False,True,True
id-47,False,True,True,False,False,True
id-48,False,False,True,False,True,False
id-49,False,True,True,True,False,False
id-50,False,False,True,True,True,False
id-51,False,True,True,False,False,False
id-52,False,False,False,True,False,False
id-53,False,False,True,True,False,False
id-54,False,True,False,False,True,False
id-55,False,True,True,True,True,False
id-56,False,False,False,False,False,True
id-57,False,True,True,True,False,False
id-58,False,False,True,True,True,True
id-59,False,False,True,True,True,True
id-60,False,True,False,True,False,False
id-61,False,False,True,False,True,True
id-62,True,True,False,False,True,True
id-63,False,False,False,False,True,False
id-64,False,False,False,True,False,True
id-65,False,False,False,True,True,False
id-66,False,False,False,False,True,False
id-67,False,True,True,True,True,True
id-68,False,False,True,True,True,False
id-69,False,False,False,False,False,True
id-70,False,False,False,False,True,False
id-71,False,False,False,False,False,True
id-72,False,True,True,False,False,True
id-73,False,True,False,False,True,False
id-74,False,False,False,True,True,True
id-75,False,True,False,True,False,False
id-76,False,False,True,False,False,True
id-77,False,False,False,False,True,True
id-78,False,False,False,False,True,True
id-79,False,True,True,True,False,False
id-80,False,True,False,True,False,False
id-81,False,False,True,False,True,False
id-82,False,False,False,True,False,True
id-83,False,True,True,True,False,False
id-84,False,True,False,False,True,False
id-85,False,True,False,False,False,False
id-86,False,True,True,True,True,True
id-87,False,True,True,False,False,True
id-88,False,True,True,True,False,True
id-89,False,True,True,False,True,True
id-90,False,True,False,True,True,True
id-91,False,False,False,True,True,False
id-92,False,False,False,False,True,False
id-93,False,False,True,False,False,False
id-94,False,False,False,False,True,True
id-95,False,False,False,False,True,True
id-96,False,True,False,True,False,False
id-97,False,True,True,False,False,True
id-98,False,True,True,True,True,False
id-99,False,False,False,True,True,False
id-100,False,True,False,True,True,True
id-101,False,False,False,False,False,True
id-102,False,False,False,False,True,False
id-103,False,False,True,False,True,True
id-104,False,False,True,False,True,True
id-105,False,True,False,False,True,True
id-106,False,False,True,True,False,False
id-107,False,True,False,True,True,False
id-108,False,False,False,True,True,True
id-109,False,False,True,True,False,False
id-110,False,False,False,False,True,False
id-111,False,False,True,True,True,False
id-112,False,False,True,True,False,False
id-113,False,True,True,False,True,True
id-114,False,False,False,True,False,False
id-115,False,True,True,True,False,True
id-116,False,True,False,True,False,False
id-117,False,True,True,True,False,False
id-118,False,False,True,True,False,True
id-119,False,False,True,False,True,False
id-120,False,True,True,True,True,True
id-121,False,True,False,False,False,True
id-122,False,False,True,False,False,False
id-123,False,False,True,False,False,True
id-124,False,True,False,True,True,True
id-125,False,True,False,True,True,True
id-126,False,False,True,False,False,True
id-127,False,True,True,True,True,False
id-128,False,True,True,True,True,False
id-129,False,True,False,False,True,False
id-130,False,False,False,True,False,True
id-131,True,False,False,False,True,True
id-132,False,False,True,True,True,False
id-133,False,True,True,False,True,True
id-134,False,False,True,True,False,False
id-135,False,True,True,True,True,True
id-136,False,True,True,True,True,True
id-137,False,False,True,True,True,False
id-138,False,True,False,True,True,True
id-139,False,False,True,True,True,False
id-140,False,True,True,True,False,True
id-141,False,True,True,False,True,False
id-142,False,True,True,True,True,True
id-143,False,False,False,True,False,False
id-144,False,False,False,False,True,False
id-145,False,False,True,False,False,True
id-146,False,True,False,False,False,False
id-147,False,True,False,False,True,True
id-148,False,False,True,True,False,False
id-149,False,False,True,False,False,False
id-150,False,True,True,False,True,True
id-151,False,True,False,True,False,False
id-152,False,False,False,False,False,True
id-153,False,False,False,True,True,True
id-154,False,False,False,True,True,False
id-155,False,False,True,False,False,False
id-156,False,False,True,False,True,True
id-157,False,True,False,True,True,True
id-158,False,True,True,False,True,False
id-159,False,True,False,False,True,True
id-160,False,False,True,False,False,True
id-161,False,False,False,False,True,True
id-162,False,False,True,False,True,False
id-163,False,False,True,True,True,True
id-164,False,True,True,True,False,True
id-165,False,False,True,False,False,False
id-166,False,False,False,False,False,False
id-167,False,True,False,False,True,True
id-168,False,True,False,False,True,True
id-169,False,True,False,False,True,True
id-170,False,False,True,True,False,True
id-171,False,False,False,False,True,True
id-172,False,True,True,False,True,False
id-173,False,True,False,True,False,False
id-174,False,False,False,False,True,True
id-175,False,False,True,True,True,False
id-176,False,True,True,True,True,False
id-177,False,False,False,False,False,True
id-178,False,False,True,True,False,True
id-179,False,False,True,False,True,True
id-180,False,True,False,False,False,True
id-181,False,False,False,True,True,False
id-182,False,True,True,False,True,True
id-183,False,True,False,True,True,True
id-184,False,True,False,True,False,True
id-185,False,True,False,False,False,False
id-186,False,False,True,True,False,False
id-187,False,False,False,False,False,False
id-188,False,False,True,False,False,True
id-189,False,True,False,False,True,False
id-190,False,True,True,True,False,False
id-191,False,True,False,False,True,True
id-192,False,True,False,True,True,True
id-193,False,False,False,True,False,False
id-194,False,True,True,True,True,True
id-195,False,True,True,False,False,False
id-196,False,False,True,False,True,True
id-197,False,False,False,False,False,True
id-198,False,False,False,False,True,True
id-199,False,False,True,True,True,False
id-200,False,True,True,False,True,False
id-201,False,False,False,False,True,False
id-202,False,False,True,True,True,True
id-203,False,True,True,False,True,False
id-204,False,False,False,True,False,True
id-205,False,False,True,False,False,True
id-206,False,True,True,False,False,False
id-207,False,True,True,True,False,False
id-208,False,False,True,False,False,True
id-209,False,False,True,False,False,False
id-210,False,False,False,True,False,True
id-211,False,False,False,False,True,False
id-212,False,False,False,True,True,False
id-213,False,True,False,True,True,True
id-214,False,True,True,False,False,False
id-215,True,False,False,True,True,False
id-216,False,True,True,True,True,False
id-217,False,False,False,False,True,True
id-218,False,False,True,True,False,False
id-219,False,True,False,False,False,True
id-220,False,True,True,True,True,True
id-221,False,False,True,False,False,False
id-222,False,True,False,False,False,False
id-223,False,False,False,False,False,False
id-224,False,True,False,False,False,False
id-225,False,False,False,False,True,False
id-226,False,False,False,False,False,False
id-227,False,True,True,False,True,True
id-228,False,True,False,True,False,False
id-229,False,False,True,True,True,False
id-230,False,True,False,False,False,False
id-231,False,False,True,False,True,True
id-232,False,False,False,True,False,False
id-233,False,False,True,False,False,False
id-234,False,True,True,False,True,False
id-235,False,True,True,False,True,False
id-236,False,False,False,False,False,True
id-237,False,True,True,False,False,True
id-238,False,False,True,True,False,False
id-239,False,False,True,False,False,True
id-240,False,True,True,True,False,True
id-241,False,False,False,False,False,False
id-242,False,False,False,True,True,True
id-243,False,True,True,False,False,False
id-244,False,True,True,True,True,True
id-245,False,False,True,True,True,True
id-246,False,False,False,True,True,False
id-247,False,False,False,False,False,False
id-248,False,True,True,False,True,True
id-249,False,False,False,False,True,False
id-250,False,False,True,False,True,False
id-251,False,True,False,True,True,True
id-252,False,False,False,False,True,False
id-253,False,True,False,True,False,False
id-254,False,True,True,True,True,False
id-255,False,True,True,True,True,True
id-256,False,False,False,True,True,False
id-257,False,False,True,True,True,True
id-258,False,True,True,True,True,False
id-259,False,True,False,False,True,True
id-260,False,False,True,False,False,False
id-261,False,False,True,False,False,False
id-262,False,False,True,False,False,True
id-263,False,False,True,False,False,False
id-264,False,True,True,False,True,True
id-265,False,True,True,False,False,True
id-266,False,True,False,False,False,True
id-267,False,False,False,True,False,True
id-268,False,True,True,False,False,False
id-269,False,True,True,True,True,False
id-270,False,False,False,True,False,False
id-271,False,False,False,False,True,False
id-272,False,True,False,True,False,True
id-273,False,True,False,True,False,True
id-274,False,True,True,False,True,True
id-275,False,True,True,True,True,True
id-276,False,False,False,False,False,False
id-277,False,False,True,True,True,True
id-278,False,True,False,True,False,True
id-279,False,True,True,True,True,False
id-280,False,False,False,True,True,False
id-281,False,True,True,True,True,True
id-282,False,False,False,True,False,False
id-283,False,True,True,True,False,True
id-284,False,True,True,True,True,False
id-285,False,False,False,False,False,False
id-286,False,False,True,False,False,False
id-287,False,True,False,False,True,True
id-288,False,True,False,True,False,False
id-289,False,False,True,True,False,True
id-290,False,False,False,False,True,True
id-291,False,False,True,True,True,False
id-292,False,True,True,False,True,True
id-293,False,True,False,False,True,False
id-294,False,True,False,False,False,True
id-295,False,True,False,True,False,False
id-296,False,False,False,True,False,True
id-297,False,False,True,False,False,True
id-298,False,True,False,False,False,True
id-299,False,False,True,False,True,True
id-300,False,True,True,False,False,True
id-301,False,False,True,False,False,True
id-302,False,False,False,True,True,False
id-303,False,False,False,False,False,False
id-304,False,False,True,False,False,False
id-305,False,True,False,False,False,False
id-306,False,True,True,True,True,True
id-307,False,True,False,False,False,False
id-308,False,False,True,False,True,False
id-309,False,False,False,True,True,True
id-310,False,False,True,False,False,True
id-311,False,False,True,False,True,True
id-312,False,False,True,False,False,False
id-313,False,True,True,False,True,False
id-314,False,False,False,True,False,False
id-315,False,False,True,True,True,True
id-316,False,False,True,False,False,False
id-317,False,True,False,True,True,False
id-318,False,True,False,True,False,True
id-319,False,True,False,False,False,True
id-320,False,False,False,True,True,True
id-321,False,True,True,False,True,True
id-322,False,False,False,False,False,False
id-323,False,False,True,False,False,True
id-324,False,True,False,True,False,True
id-325,False,False,False,False,True,True
id-326,False,True,False,True,False,False
id-327,False,True,True,True,False,True
id-328,False,False,False,False,True,False
id-329,False,True,True,True,True,False
id-330,False,False,True,True,True,False
id-331,False,False,True,True,False,True
id-332,False,True,True,True,True,True
id-333,False,True,True,False,True,False
id-334,False,True,True,True,False,False
id-335,False,False,True,True,True,False
id-336,False,False,True,False,True,True
id-337,False,True,True,False,True,False
