uid,mod0,mod1,mod2,mod3
id-1,False,False,False,True
id-2,False,False,True,False
id-3,False,False,True,False
id-4,False,False,True,False
id-5,False,False,False,True
id-6,False,False,True,True
id-7,True,False,False,False
id-8,False,False,False,True
id-9,True,False,True,True
id-10,False,True,False,False
id-11,False,False,True,False
id-12,False,True,False,False
id-13,False,False,True,False
id-14,True,False,False,False
id-15,False,False,False,True
id-16,False,False,True,False
id-17,True,True,False,False
id-18,False,False,False,True
id-19,False,False,True,True
id-20,True,False,False,False
id-21,False,False,True,False
id-22,False,False,True,False
id-23,False,False,True,False
id-24,False,True,False,False
id-25,False,False,True,False
id-26,False,True,False,False
id-27,False,False,False,True
id-28,False,False,False,True
id-29,True,False,True,True
id-30,False,False,True,False
id-31,True,False,False,False
id-32,False,False,True,False
id-33,True,False,False,True
id-34,False,True,False,False
id-35,False,True,False,False
id-36,True,False,False,False
id-37,False,True,False,False
id-38,True,False,False,False
id-39,False,False,True,False
id-40,False,False,False,True
id-41,False,True,False,False
id-42,True,False,False,False
id-43,False,False,False,True
id-44,False,False,False,True
id-45,False,True,True,True
id-46,False,False,False,True
id-47,True,False,True,False
id-48,False,True,True,False
id-49,True,True,False,True
id-50,True,False,True,False
id-51,False,False,False,True
id-52,False,False,True,False
id-53,True,False,False,False
id-54,True,True,True,True
id-55,False,True,False,False
id-56,True,False,False,False
id-57,False,False,True,False
id-58,False,True,False,True
id-59,False,False,False,True
id-60,False,False,False,True
id-61,False,False,True,False
id-62,False,True,True,True
id-63,False,False,False,True
id-64,False,False,True,False
id-65,True,True,True,True
id-66,False,False,True,False
id-67,True,False,False,True
id-68,True,False,False,False
id-69,True,False,False,True
id-70,True,False,True,True
id-71,False,False,False,True
id-72,True,False,False,False
id-73,False,True,False,False
id-74,False,False,True,False
id-75,True,False,False,False
id-76,False,False,False,True
id-77,False,False,False,True
id-78,True,True,True,False
id-79,True,False,False,False
id-80,False,False,True,False
id-81,False,False,False,True
id-82,True,False,False,False
id-83,False,False,False,True
id-84,True,False,True,True
id-85,False,False,False,True
id-86,True,False,False,False
id-87,False,True,True,False
id-88,False,True,False,False
id-89,False,True,False,False
id-90,False,False,True,False
id-91,False,False,False,True
id-92,True,False,False,False
id-93,False,False,True,False
id-94,False,False,False,True
id-95,False,False,False,True
id-96,True,False,True,True
id-97,True,False,True,False
id-98,True,False,False,True
id-99,False,True,False,False
id-100,True,False,False,False
id-101,False,False,False,True
id-102,False,False,False,True
id-103,False,True,False,False
id-104,False,True,False,False
id-105,False,False,True,False
id-106,False,True,True,False
id-107,True,True,True,False
id-108,False,False,False,True
id-109,False,False,False,True
id-110,False,True,False,False
id-111,True,False,True,True
id-112,True,False,False,False
id-113,False,False,True,False
id-114,False,True,True,True
id-115,False,False,True,False
id-116,False,False,True,False
id-117,True,False,False,False
id-118,True,False,False,False
id-119,True,True,False,True
id-120,True,False,False,False
id-121,True,False,False,False
id-122,False,False,True,False
id-123,True,False,False,False
id-124,False,False,False,True
id-125,True,False,False,False
id-126,True,False,False,False
id-127,True,False,False,False
id-128,True,False,False,False
id-129,False,True,False,True
id-130,False,False,False,True
id-131,False,False,True,False
id-132,False,True,False,False
id-133,False,False,True,True
id-134,False,False,True,False
id-135,False,True,False,False
id-136,False,True,False,False
id-137,True,False,False,True
id-138,False,False,False,True
id-139,True,False,False,False
id-140,False,False,False,True
id-141,False,False,False,True
id-142,False,False,True,False
id-143,False,False,True,False
id-144,False,True,False,False
id-145,False,True,False,False
id-146,True,False,True,True
id-147,False,True,False,False
id-148,True,False,True,False
id-149,True,False,False,False
id-150,False,False,False,True
id-151,False,True,False,False
id-152,True,False,True,False
id-153,False,True,False,True
id-154,True,True,True,True
id-155,True,True,True,False
id-156,True,False,False,False
id-157,False,True,False,False
id-158,True,False,False,False
id-159,True,True,False,True
id-160,False,False,False,True
id-161,True,False,False,True
id-162,False,False,True,False
id-163,False,False,True,False
id-164,False,False,True,False
id-165,False,False,True,True
id-166,True,False,False,False
id-167,False,True,False,False
id-168,False,False,True,False
id-169,False,False,True,False
id-170,True,True,True,True
id-171,False,False,True,False
id-172,True,False,False,False
id-173,True,True,True,False
id-174,True,False,False,False
id-175,False,True,False,False
id-176,False,True,False,False
id-177,True,False,False,False
id-178,False,False,True,False
id-179,False,False,False,True
id-180,False,False,True,False
id-181,False,False,False,True
id-182,False,True,False,False
id-183,False,True,False,False
id-184,False,True,False,False
id-185,False,False,True,False
id-186,False,True,False,False
id-187,False,False,False,True
id-188,True,True,False,True
id-189,False,False,False,True
id-190,False,False,True,False
id-191,True,False,False,False
id-192,False,True,False,False
id-193,False,False,False,True
id-194,False,True,False,False
id-195,False,False,True,False
