uid,mod0,mod1,mod2,mod3
id-1,True,True,True,True
id-2,True,True,True,True
id-3,True,True,True,True
id-4,True,True,True,True
id-5,True,True,True,True
id-6,True,True,True,True
id-7,True,True,True,True
id-8,True,True,True,True
id-9,True,True,True,True
id-10,True,True,True,True
id-11,True,True,True,True
id-12,True,True,True,True
id-13,True,True,True,True
id-14,True,True,True,True
id-15,True,True,True,True
id-16,True,True,True,True
id-17,True,True,True,True
id-18,True,True,True,True
id-19,True,True,True,True
id-20,True,True,True,True
id-21,True,True,True,True
id-22,True,True,True,True
id-23,True,True,True,True
id-24,True,True,True,True
id-25,True,True,True,True
id-26,True,True,True,True
id-27,True,True,True,True
id-28,True,True,True,True
id-29,True,True,True,True
id-30,True,True,True,True
id-31,True,True,True,True
id-32,True,True,True,True
id-33,True,True,True,True
id-34,True,True,True,True
id-35,True,True,True,True
id-36,True,True,True,True
id-37,True,True,True,True
id-38,True,True,True,True
id-39,True,True,True,True
id-40,True,True,True,True
id-41,True,True,True,True
id-42,True,True,True,True
id-43,True,True,True,True
id-44,True,True,True,True
id-45,True,True,True,True
id-46,True,True,True,True
id-47,True,True,True,True
id-48,True,True,True,True
id-49,True,True,True,True
id-50,True,True,True,True
id-51,True,True,True,True
id-52,True,True,True,True
id-53,True,True,True,True
id-54,True,True,True,True
id-55,True,True,True,True
id-56,True,True,True,True
id-57,True,True,True,True
id-58,True,True,True,True
id-59,True,True,True,True
id-60,True,True,True,True
id-61,True,True,True,True
id-62,True,True,True,True
id-63,True,True,True,True
id-64,True,True,True,True
id-65,True,True,True,True
id-66,True,True,True,True
id-67,True,True,True,True
id-68,True,True,True,True
id-69,True,True,True,True
id-70,True,True,True,True
id-71,True,True,True,True
id-72,True,True,True,True
id-73,True,True,True,True
id-74,True,True,True,True
id-75,True,True,True,True
id-76,True,True,True,True
id-77,True,True,True,True
id-78,True,True,True,True
id-79,True,True,True,True
id-80,True,True,True,True
id-81,True,True,True,True
id-82,True,True,True,True
id-83,True,True,True,True
id-84,True,True,True,True
id-85,True,True,True,True
id-86,True,True,True,True
id-87,True,True,True,True
id-88,True,True,True,True
id-89,True,True,True,True
id-90,True,True,True,True
id-91,True,True,True,True
id-92,True,True,True,True
id-93,True,True,True,True
id-94,True,True,True,True
id-95,True,True,True,True
id-96,True,True,True,True
id-97,True,True,True,True
id-98,True,True,True,True
id-99,True,True,True,True
id-100,True,True,True,True
id-101,True,True,True,True
id-102,True,True,True,True
id-103,True,True,True,True
id-104,True,True,True,True
id-105,True,True,True,True
id-106,True,True,True,True
id-107,True,True,True,True
id-108,True,True,True,True
id-109,True,True,True,True
id-110,True,True,True,True
id-111,True,True,True,True
id-112,True,True,True,True
id-113,True,True,True,True
id-114,True,True,True,True
id-115,True,True,True,True
id-116,True,True,True,True
id-117,True,True,True,True
id-118,True,True,True,True
id-119,True,True,True,True
id-120,True,True,True,True
id-121,True,True,True,True
id-122,True,True,True,True
id-123,True,True,True,True
id-124,True,True,True,True
id-125,True,True,True,True
id-126,True,True,True,True
id-127,True,True,True,True
id-128,True,True,True,True
id-129,True,True,True,True
id-130,True,True,True,True
id-131,True,True,True,True
id-132,True,True,True,True
id-133,True,True,True,True
id-134,True,True,True,True
id-135,True,True,True,True
id-136,True,True,True,True
id-137,True,True,True,True
id-138,True,True,True,True
id-139,True,True,True,True
id-140,True,True,True,True
id-141,True,True,True,True
id-142,True,True,True,True
id-143,True,True,True,True
id-144,True,True,True,True
id-145,True,True,True,True
id-146,True,True,True,True
id-147,True,True,True,True
