uid,mod0,mod1,mod2,mod3
id-1,False,True,True,True
id-2,True,True,True,True
id-3,False,False,True,True
id-4,True,False,False,False
id-5,False,False,True,True
id-6,True,False,False,True
id-7,False,False,False,True
id-8,True,True,True,False
id-9,True,True,True,False
id-10,True,True,False,True
id-11,True,True,True,True
id-12,False,False,False,True
id-13,False,True,True,False
id-14,True,True,True,True
id-15,False,True,True,False
id-16,True,True,False,True
id-17,True,False,True,False
id-18,True,True,True,True
id-19,False,True,False,False
id-20,True,True,False,False
id-21,True,True,True,False
id-22,True,False,True,False
id-23,False,True,False,False
id-24,True,True,False,False
id-25,False,True,True,False
id-26,True,False,True,False
id-27,True,False,True,True
id-28,True,True,True,False
id-29,True,False,True,False
id-30,False,False,True,False
id-31,True,True,True,False
id-32,True,True,False,False
id-33,True,True,True,True
id-34,True,True,True,False
id-35,False,True,True,True
id-36,True,True,False,True
id-37,True,True,True,False
id-38,True,False,False,True
id-39,True,True,False,False
id-40,True,True,False,True
id-41,False,True,False,True
id-42,False,False,True,False
id-43,True,False,True,False
id-44,False,True,False,False
id-45,True,True,True,True
id-46,False,True,False,False
id-47,True,True,True,False
id-48,True,False,True,True
id-49,True,False,True,True
id-50,True,False,True,False
id-51,True,True,False,True
id-52,True,False,False,True
id-53,False,True,False,True
id-54,True,False,False,True
id-55,True,True,False,True
id-56,False,True,False,False
id-57,False,True,True,True
id-58,False,True,False,False
id-59,False,False,True,True
id-60,True,False,True,True
id-61,True,False,True,False
id-62,False,True,True,False
id-63,True,True,False,False
id-64,True,True,False,False
id-65,True,False,False,True
id-66,True,True,True,False
id-67,False,True,False,False
id-68,True,True,True,False
id-69,False,True,False,True
id-70,True,False,True,False
id-71,False,False,True,True
id-72,False,False,True,True
id-73,True,True,True,False
id-74,False,True,False,True
id-75,True,True,False,True
id-76,True,True,True,True
id-77,True,True,False,True
id-78,False,True,True,True
id-79,False,True,True,True
id-80,True,True,True,True
id-81,True,True,True,False
id-82,True,True,True,True
id-83,True,True,False,True
id-84,True,False,False,True
id-85,False,True,True,False
id-86,True,True,False,False
id-87,False,True,False,True
id-88,True,False,False,True
id-89,True,True,True,False
id-90,False,True,True,True
id-91,True,True,True,False
id-92,False,False,True,True
id-93,True,True,False,False
id-94,True,True,True,True
id-95,True,True,True,False
id-96,False,False,True,True
id-97,False,False,True,False
id-98,True,True,False,True
id-99,True,False,False,False
id-100,True,True,True,False
id-101,True,True,True,False
id-102,True,False,True,True
id-103,True,True,True,True
id-104,False,True,True,True
id-105,False,False,True,False
id-106,False,False,True,True
id-107,True,True,True,True
id-108,False,False,True,True
id-109,True,True,True,True
id-110,False,True,True,True
id-111,True,True,True,False
id-112,True,True,False,True
id-113,False,True,True,True
id-114,True,True,True,False
id-115,True,True,False,False
id-116,False,False,True,True
id-117,True,False,True,True
id-118,True,True,False,True
id-119,True,True,False,False
id-120,True,True,True,False
id-121,False,True,False,True
id-122,True,True,True,True
id-123,False,True,True,False
id-124,False,False,True,False
id-125,False,False,True,True
id-126,True,True,False,False
id-127,False,True,False,True
id-128,False,False,False,True
id-129,True,True,True,True
id-130,False,False,True,True
id-131,False,False,True,True
id-132,True,True,True,True
id-133,False,True,False,True
id-134,True,False,True,True
id-135,True,False,True,False
id-136,True,True,False,False
id-137,True,True,True,False
id-138,True,True,True,True
id-139,True,True,True,False
id-140,False,True,False,True
id-141,True,True,False,False
id-142,False,False,True,True
id-143,True,False,False,True
id-144,True,False,True,True
id-145,False,True,False,False
id-146,True,True,True,True
id-147,True,True,True,False
id-148,True,False,False,True
id-149,True,False,False,False
id-150,True,True,False,False
id-151,True,True,True,True
id-152,True,True,True,True
id-153,False,False,False,True
id-154,True,False,True,True
id-155,False,False,True,False
id-156,False,False,True,False
id-157,True,False,False,False
id-158,True,True,True,False
id-159,True,False,True,False
id-160,False,True,False,False
id-161,False,False,True,True
id-162,True,True,False,False
id-163,True,True,True,False
id-164,True,True,True,True
id-165,True,False,False,False
id-166,True,False,True,True
id-167,False,False,True,True
id-168,True,True,True,True
id-169,False,True,True,True
id-170,False,True,False,True
id-171,False,True,True,True
id-172,False,True,False,True
id-173,True,True,False,False
id-174,False,True,True,True
id-175,True,True,True,True
id-176,True,False,False,True
id-177,True,True,True,True
id-178,False,True,True,True
id-179,True,False,False,False
id-180,True,False,False,True
id-181,True,True,True,False
id-182,True,True,True,False
id-183,True,False,True,False
id-184,False,True,True,False
id-185,False,True,False,True
id-186,True,False,True,False
id-187,False,False,True,True
id-188,True,True,True,False
id-189,True,True,True,False
id-190,True,False,False,True
id-191,True,False,True,True
id-192,True,True,False,True
id-193,True,False,True,False
id-194,True,True,True,True
id-195,True,True,True,True
id-196,True,True,True,False
id-197,True,True,False,True
id-198,False,False,True,True
id-199,False,False,True,False
id-200,True,False,False,True
id-201,True,True,True,False
id-202,False,True,False,False
id-203,True,False,False,True
id-204,True,False,False,True
id-205,True,True,True,True
id-206,True,False,False,True
id-207,False,True,False,True
id-208,True,True,True,False
id-209,True,False,True,True
id-210,False,True,True,True
id-211,False,True,False,True
id-212,False,True,True,True
id-213,True,False,True,False
id-214,False,True,True,True
id-215,True,True,False,True
id-216,False,True,False,True
id-217,False,True,True,False
id-218,False,True,False,True
id-219,True,True,True,False
id-220,True,False,True,True
id-221,False,True,True,True
id-222,True,False,True,True
id-223,True,True,True,False
id-224,True,True,True,False
id-225,False,False,False,True
id-226,True,False,True,True
id-227,True,True,True,False
id-228,True,False,False,False
id-229,False,True,False,True
id-230,True,True,True,False
id-231,True,False,False,True
id-232,False,False,True,False
id-233,True,True,False,True
id-234,True,False,True,False
id-235,True,False,False,True
id-236,True,True,False,True
id-237,True,True,True,True
id-238,False,True,True,False
id-239,True,False,True,True
id-240,True,True,False,False
id-241,False,True,False,False
id-242,False,True,False,True
id-243,True,False,True,True
id-244,True,False,True,True
id-245,False,True,True,False
id-246,True,True,False,True
id-247,False,True,True,False
id-248,True,False,True,True
id-249,True,False,False,False
id-250,True,False,True,False
id-251,True,False,True,False
id-252,True,False,True,True
id-253,True,False,False,True
id-254,False,True,False,True
