uid,mod0,mod1,mod2,mod3
id-1,False,False,True,False
id-2,False,True,False,False
id-3,False,False,False,True
id-4,False,False,False,True
id-5,False,False,False,True
id-6,False,False,True,False
id-7,True,False,False,False
id-8,False,True,False,False
id-9,False,True,False,False
id-10,False,True,False,False
id-11,True,False,False,False
id-12,False,True,False,False
id-13,False,True,False,False
id-14,False,True,False,False
id-15,False,False,True,False
id-16,False,False,False,True
id-17,False,False,True,False
id-18,True,False,False,False
id-19,False,False,False,True
id-20,False,False,True,False
id-21,False,False,True,False
id-22,False,True,False,False
id-23,False,False,True,False
id-24,False,False,False,True
id-25,False,True,False,False
id-26,False,False,True,False
id-27,False,True,False,False
id-28,False,False,False,True
id-29,False,False,True,False
id-30,False,False,True,False
id-31,False,True,False,False
id-32,False,True,False,False
id-33,False,True,False,False
id-34,False,False,False,True
id-35,False,False,True,False
id-36,False,True,False,False
id-37,False,True,False,False
id-38,False,False,False,True
id-39,False,False,False,True
id-40,False,False,True,False
id-41,False,False,True,False
id-42,False,False,True,False
id-43,False,False,False,True
id-44,False,False,False,True
id-45,False,False,True,False
id-46,True,True,True,True
id-47,False,True,False,False
id-48,False,True,False,False
id-49,False,False,True,False
id-50,False,False,True,False
id-51,True,False,False,False
id-52,True,False,False,False
id-53,False,False,True,False
id-54,False,False,True,False
id-55,False,True,False,False
id-56,False,False,False,True
id-57,False,False,True,False
id-58,True,False,False,False
id-59,False,True,False,False
id-60,False,False,False,True
id-61,True,False,False,False
id-62,False,False,True,False
id-63,False,True,False,False
id-64,False,True,False,False
id-65,False,False,False,True
id-66,True,False,False,False
id-67,True,False,False,False
id-68,False,False,True,False
id-69,False,True,False,False
id-70,True,False,False,False
id-71,False,False,False,True
id-72,False,False,False,True
id-73,False,False,False,True
id-74,True,False,False,False
id-75,False,False,True,False
id-76,False,False,True,False
id-77,True,False,False,False
id-78,False,False,False,True
id-79,True,False,False,False
id-80,True,True,True,True
id-81,True,False,False,False
id-82,False,False,False,True
id-83,False,False,False,True
id-84,False,False,False,True
id-85,True,False,False,False
id-86,False,True,False,False
id-87,True,False,False,False
id-88,True,False,False,False
id-89,True,False,False,False
id-90,False,True,False,False
id-91,False,True,False,False
id-92,False,True,False,False
id-93,False,True,False,False
id-94,True,False,False,False
id-95,True,False,False,False
id-96,False,True,True,True
id-97,False,False,True,False
id-98,False,False,False,True
id-99,True,False,False,False
id-100,False,False,False,True
id-101,False,False,True,False
id-102,False,True,False,False
id-103,False,False,False,True
id-104,False,False,False,True
id-105,True,False,False,False
id-106,False,False,True,False
id-107,True,False,False,False
id-108,False,True,False,False
id-109,False,False,True,False
id-110,False,False,False,True
id-111,False,False,False,True
id-112,False,True,False,False
id-113,False,False,False,True
id-114,False,False,True,False
id-115,False,True,False,False
id-116,False,False,False,True
id-117,False,False,False,True
id-118,True,False,False,False
id-119,False,True,False,False
id-120,False,True,False,False
id-121,False,False,False,True
id-122,False,True,False,False
id-123,False,False,True,False
id-124,False,False,False,True
id-125,False,False,True,False
id-126,False,True,False,False
id-127,False,False,False,True
id-128,False,False,True,False
id-129,False,True,False,False
id-130,False,True,False,False
id-131,False,False,True,False
id-132,False,True,False,False
id-133,False,False,False,True
id-134,True,False,False,False
id-135,False,True,False,False
id-136,False,False,True,False
id-137,False,False,False,True
id-138,False,False,False,True
id-139,False,True,False,False
id-140,False,True,False,False
id-141,True,False,False,False
id-142,False,False,False,True
id-143,False,False,True,False
id-144,False,True,False,False
id-145,False,False,False,True
id-146,False,False,False,True
id-147,False,False,True,False
id-148,False,False,False,True
id-149,True,True,True,False
id-150,False,False,True,False
id-151,True,False,False,False
id-152,True,True,False,False
id-153,True,False,False,False
id-154,True,True,False,True
id-155,False,False,False,True
id-156,False,True,False,False
id-157,False,False,True,False
id-158,False,False,True,False
id-159,False,False,False,True
id-160,False,False,False,True
id-161,False,False,False,True
id-162,True,False,False,False
id-163,False,False,False,True
id-164,True,False,False,False
id-165,False,True,False,False
id-166,False,True,False,False
id-167,True,False,False,False
id-168,True,False,False,False
id-169,False,False,False,True
id-170,False,False,True,False
id-171,False,False,False,True
id-172,False,False,False,True
id-173,True,False,False,False
id-174,False,True,False,False
id-175,True,False,False,False
id-176,True,False,False,False
id-177,False,False,True,False
id-178,False,False,False,True
id-179,True,False,False,False
id-180,False,True,False,False
id-181,False,False,True,False
id-182,True,False,False,False
id-183,True,False,False,False
id-184,True,False,False,False
id-185,True,False,False,False
id-186,True,False,False,False
id-187,True,False,False,False
id-188,False,True,False,False
id-189,True,False,False,False
id-190,False,True,False,False
id-191,False,False,True,False
id-192,False,False,True,False
id-193,False,True,False,False
id-194,False,True,False,False
id-195,True,False,False,False
id-196,False,False,False,True
id-197,False,False,False,True
id-198,False,False,False,True
id-199,False,False,False,True
id-200,False,False,True,False
