uid,mod0,mod1,mod2,mod3
id-1,True,True,False,False
id-2,True,True,True,True
id-3,False,False,True,False
id-4,True,False,True,True
id-5,True,True,False,True
id-6,True,False,True,False
id-7,True,True,False,True
id-8,True,False,True,True
id-9,False,True,True,True
id-10,True,True,True,False
id-11,False,True,True,True
id-12,True,True,True,False
id-13,True,False,True,True
id-14,True,False,True,True
id-15,True,False,True,True
id-16,False,True,True,False
id-17,True,False,True,True
id-18,True,True,False,True
id-19,True,True,True,True
id-20,True,True,True,True
id-21,False,True,True,True
id-22,True,True,True,True
id-23,True,True,True,True
id-24,False,True,False,False
id-25,True,True,True,False
id-26,True,True,True,True
id-27,True,False,False,False
id-28,True,True,True,True
id-29,True,False,True,True
id-30,False,True,True,True
id-31,True,False,True,True
id-32,True,True,False,True
id-33,True,True,False,True
id-34,True,True,False,True
id-35,True,True,True,True
id-36,False,True,True,False
id-37,False,True,True,True
id-38,True,False,False,True
id-39,True,False,False,False
id-40,False,False,True,True
id-41,False,True,True,True
id-42,True,True,True,True
id-43,False,False,True,True
id-44,False,True,True,True
id-45,True,False,True,True
id-46,True,True,True,True
id-47,True,True,True,True
id-48,True,False,True,False
id-49,True,True,True,False
id-50,False,True,True,True
id-51,True,True,True,False
id-52,True,True,True,True
id-53,True,True,True,True
id-54,True,True,True,True
id-55,False,True,False,False
id-56,True,True,True,True
id-57,False,True,True,True
id-58,True,True,True,False
id-59,True,True,True,True
id-60,True,False,True,False
id-61,True,True,True,True
id-62,True,False,False,True
id-63,True,True,True,True
id-64,False,True,True,True
id-65,False,False,True,True
id-66,True,True,True,False
id-67,False,True,True,True
id-68,False,False,True,False
id-69,True,True,False,True
id-70,True,True,True,False
id-71,True,True,False,True
id-72,False,True,True,True
id-73,True,True,False,True
id-74,True,False,True,True
id-75,True,True,True,False
id-76,True,False,True,True
id-77,True,True,True,False
id-78,True,False,False,True
id-79,True,True,True,True
id-80,True,False,True,False
id-81,False,True,True,False
id-82,True,False,True,False
id-83,True,False,False,True
id-84,False,False,True,True
id-85,False,True,True,True
id-86,True,True,True,False
id-87,True,True,True,False
id-88,True,True,True,True
id-89,False,True,True,True
id-90,True,True,True,True
id-91,False,True,True,True
id-92,True,True,True,True
id-93,True,True,True,False
id-94,True,False,True,True
id-95,False,True,False,True
id-96,False,True,False,True
id-97,True,True,True,False
id-98,True,False,True,True
id-99,True,True,True,False
id-100,False,False,True,True
id-101,True,True,False,True
id-102,True,True,True,True
id-103,True,True,True,True
id-104,True,True,False,True
id-105,True,True,True,False
id-106,True,False,True,False
id-107,True,True,True,False
id-108,True,True,True,True
id-109,True,True,True,False
id-110,True,True,True,True
id-111,True,True,True,True
id-112,True,True,True,True
id-113,True,True,True,True
id-114,True,False,True,True
id-115,True,True,True,False
id-116,True,False,True,True
id-117,False,True,False,True
id-118,True,True,True,False
id-119,True,True,True,True
id-120,True,False,True,True
id-121,True,True,False,True
id-122,True,True,True,False
id-123,True,True,False,True
id-124,True,True,True,True
id-125,True,True,False,True
id-126,True,True,True,True
id-127,False,False,True,True
id-128,False,True,True,True
id-129,True,True,True,False
id-130,True,True,False,True
id-131,False,True,False,False
id-132,True,True,False,True
id-133,True,False,True,True
id-134,True,True,True,False
id-135,True,True,True,True
id-136,True,False,True,False
id-137,True,True,True,True
id-138,True,False,True,True
id-139,False,True,True,False
id-140,False,True,True,True
id-141,True,False,True,True
id-142,True,True,True,True
id-143,True,False,False,True
id-144,False,True,True,True
id-145,True,True,True,True
id-146,True,True,True,True
id-147,False,True,True,False
id-148,True,True,True,True
id-149,True,True,True,False
id-150,True,True,True,True
id-151,True,True,True,True
id-152,True,False,True,True
id-153,True,True,True,True
id-154,False,True,True,True
id-155,True,True,False,False
id-156,True,False,True,True
id-157,True,True,True,True
id-158,True,True,False,True
id-159,True,True,False,False
id-160,True,True,True,True
id-161,True,True,True,True
id-162,True,True,True,True
id-163,True,True,True,True
id-164,False,True,True,True
id-165,True,False,False,True
id-166,True,True,True,True
id-167,True,False,True,True
id-168,True,True,False,True
id-169,True,True,False,True
id-170,False,True,True,True
id-171,True,True,False,False
id-172,True,True,True,True
id-173,True,True,True,False
id-174,False,False,True,True
id-175,True,True,False,True
id-176,True,False,True,True
id-177,False,True,True,False
id-178,False,False,True,True
id-179,True,True,True,False
id-180,True,False,True,True
id-181,True,True,True,True
id-182,True,False,False,True
id-183,False,True,True,True
id-184,True,True,True,False
id-185,True,False,True,True
id-186,True,True,False,True
id-187,True,False,True,True
id-188,True,True,True,True
id-189,True,True,True,True
id-190,True,False,True,False
id-191,True,True,False,False
id-192,True,True,True,True
id-193,True,True,True,True
id-194,True,False,True,True
id-195,True,True,False,True
id-196,True,True,True,True
id-197,True,False,True,False
id-198,True,True,True,True
id-199,False,False,True,True
id-200,True,True,True,True
id-201,True,True,True,True
id-202,True,True,True,False
id-203,True,True,True,True
id-204,True,True,True,False
id-205,True,True,True,True
id-206,True,False,True,False
id-207,True,True,False,False
id-208,False,True,False,True
id-209,False,True,True,False
id-210,True,True,True,True
id-211,True,True,True,True
id-212,True,True,False,True
id-213,True,True,True,True
id-214,True,True,True,False
id-215,False,True,True,False
id-216,False,True,True,True
id-217,True,True,False,False
id-218,False,True,True,True
id-219,True,True,True,False
id-220,True,True,True,True
id-221,True,False,True,True
id-222,True,True,True,True
id-223,True,True,True,False
id-224,True,False,True,True
id-225,True,True,False,True
id-226,True,True,False,True
id-227,True,True,False,False
id-228,False,True,True,True
id-229,True,True,False,True
id-230,True,True,True,False
id-231,False,False,True,True
id-232,True,True,True,True
id-233,True,True,True,True
id-234,True,True,True,True
id-235,False,False,False,True
id-236,True,True,False,True
id-237,True,False,True,True
id-238,False,True,True,True
id-239,True,False,True,False
id-240,False,False,True,False
id-241,False,True,False,True
id-242,True,True,True,True
id-243,False,True,True,False
id-244,True,False,False,False
id-245,True,True,True,False
id-246,True,True,True,False
id-247,True,True,True,True
id-248,True,True,False,True
id-249,True,True,True,True
id-250,True,False,True,True
id-251,True,False,True,False
id-252,True,True,True,True
id-253,False,True,True,False
id-254,False,True,True,False
id-255,True,True,True,True
id-256,True,True,True,True
id-257,True,True,True,True
id-258,True,False,False,True
id-259,True,False,True,True
id-260,False,False,False,True
id-261,True,True,True,True
id-262,False,True,True,True
id-263,True,False,True,True
id-264,True,True,True,False
id-265,False,True,True,True
id-266,True,True,False,True
id-267,True,False,True,True
id-268,False,True,False,True
id-269,True,False,True,False
id-270,False,True,True,False
id-271,True,True,True,True
id-272,False,True,True,True
id-273,True,False,True,True
id-274,True,False,True,True
id-275,True,True,True,True
id-276,False,True,True,True
id-277,True,True,True,True
id-278,True,False,True,False
id-279,False,True,True,False
id-280,True,True,False,True
id-281,True,True,True,True
id-282,True,True,True,True
id-283,True,False,False,True
id-284,True,True,True,False
id-285,True,False,True,True
id-286,True,True,False,True
id-287,False,True,True,True
id-288,True,True,True,True
id-289,True,True,True,True
id-290,True,True,False,True
id-291,True,True,True,False
id-292,True,True,True,True
id-293,True,False,False,False
id-294,True,True,False,True
id-295,True,True,True,False
id-296,True,True,False,True
id-297,True,True,True,True
id-298,True,True,True,True
id-299,True,True,False,True
id-300,False,True,True,True
id-301,True,True,True,True
id-302,True,True,True,True
id-303,True,True,True,True
id-304,True,True,True,True
id-305,False,True,True,True
id-306,True,True,True,True
id-307,True,True,False,False
id-308,True,False,True,True
id-309,True,True,True,False
id-310,True,True,True,True
id-311,False,True,True,True
id-312,True,False,True,True
id-313,True,True,True,False
id-314,False,True,False,False
id-315,True,True,True,True
id-316,True,True,True,True
id-317,True,True,True,True
id-318,True,True,True,True
id-319,True,True,False,False
id-320,True,True,True,True
id-321,True,False,True,True
id-322,True,True,False,True
id-323,True,False,True,True
id-324,False,True,True,True
id-325,True,True,True,True
id-326,True,True,False,True
id-327,False,True,True,False
id-328,False,False,False,True
id-329,True,True,True,True
id-330,True,False,True,True
id-331,True,True,False,True
id-332,True,True,True,True
id-333,False,True,True,True
id-334,True,False,True,True
id-335,True,True,True,False
id-336,True,False,True,True
id-337,True,True,True,True
id-338,True,False,True,True
id-339,False,True,True,False
id-340,True,False,True,True
id-341,True,False,True,True
id-342,True,True,True,True
id-343,True,True,False,False
id-344,False,True,False,True
id-345,True,True,True,False
id-346,True,True,True,True
id-347,True,False,True,False
id-348,True,True,False,True
id-349,False,True,False,True
id-350,True,False,False,True
id-351,True,True,False,True
id-352,True,True,False,False
id-353,True,True,True,True
id-354,True,True,False,True
id-355,True,True,False,True
id-356,True,True,True,True
id-357,True,True,False,True
id-358,True,False,True,True
id-359,True,True,False,True
id-360,False,True,True,True
id-361,False,True,True,True
id-362,True,True,True,True
