uid,mod0,mod1,mod2,mod3
id-1,True,False,True,True
id-2,False,False,True,True
id-3,True,True,False,False
id-4,True,True,False,True
id-5,True,True,True,True
id-6,True,True,True,True
id-7,False,False,False,True
id-8,False,True,True,True
id-9,False,False,False,True
id-10,False,False,True,False
id-11,False,True,False,False
id-12,False,True,False,True
id-13,False,False,False,True
id-14,True,False,False,False
id-15,True,True,True,True
id-16,False,True,False,True
id-17,False,False,False,True
id-18,True,True,False,True
id-19,False,False,False,True
id-20,False,False,False,True
id-21,True,False,False,False
id-22,True,False,False,False
id-23,True,True,True,True
id-24,False,False,False,True
id-25,True,False,False,True
id-26,True,False,False,False
id-27,False,False,True,False
id-28,False,True,True,False
id-29,True,True,True,False
id-30,True,True,True,True
id-31,True,False,False,True
id-32,True,False,True,False
id-33,False,False,True,False
id-34,True,False,False,False
id-35,True,False,True,False
id-36,False,True,False,False
id-37,False,False,False,True
id-38,True,True,False,False
id-39,False,False,True,False
id-40,False,False,True,False
id-41,False,False,False,True
id-42,False,False,False,True
id-43,True,False,False,False
id-44,True,False,True,False
id-45,True,True,False,True
id-46,True,True,False,False
id-47,True,False,False,False
id-48,False,False,True,False
id-49,False,True,False,False
id-50,True,True,False,True
id-51,True,False,False,False
id-52,True,False,False,True
id-53,False,True,True,True
id-54,True,True,False,True
id-55,False,True,False,False
id-56,False,True,False,False
id-57,True,True,False,False
id-58,True,False,False,False
id-59,False,True,False,True
id-60,True,False,True,True
id-61,False,True,False,False
id-62,True,True,False,True
id-63,False,True,False,False
id-64,False,False,False,True
id-65,False,False,True,True
id-66,True,False,False,False
id-67,True,True,True,True
id-68,False,True,False,True
id-69,False,True,True,True
id-70,True,True,True,True
id-71,False,True,False,False
id-72,False,False,True,False
id-73,False,False,False,True
id-74,False,False,True,False
id-75,True,True,True,True
id-76,True,False,False,False
id-77,False,False,True,False
id-78,True,False,True,False
id-79,False,True,True,False
id-80,False,True,False,False
id-81,False,True,False,False
id-82,False,True,False,True
id-83,False,False,True,False
id-84,False,True,True,True
id-85,False,True,True,False
id-86,False,False,True,False
id-87,False,False,False,True
id-88,False,True,False,False
id-89,True,True,True,True
id-90,False,True,False,False
id-91,True,False,False,False
id-92,True,False,True,True
id-93,False,True,False,False
id-94,False,True,True,True
id-95,True,False,False,False
id-96,False,False,True,False
id-97,True,True,True,False
id-98,False,False,False,True
id-99,True,False,True,True
id-100,True,True,True,True
id-101,False,True,True,True
id-102,False,True,False,True
id-103,False,False,False,True
id-104,False,True,True,True
id-105,False,False,False,True
id-106,True,False,False,False
id-107,True,True,True,False
id-108,False,False,False,True
id-109,False,True,True,False
id-110,True,False,False,False
id-111,True,True,False,True
id-112,True,False,False,False
id-113,True,True,False,True
id-114,False,False,False,True
id-115,False,False,False,True
id-116,False,False,False,True
id-117,False,False,False,True
id-118,True,False,False,False
id-119,False,True,False,False
id-120,True,True,True,False
id-121,True,False,True,True
id-122,True,True,True,False
id-123,True,False,True,True
id-124,False,True,False,True
id-125,True,True,True,False
id-126,False,False,True,False
id-127,False,True,False,False
id-128,False,False,False,True
id-129,True,False,False,False
id-130,True,True,False,False
id-131,True,True,True,True
id-132,False,False,True,False
id-133,True,False,False,False
id-134,False,False,True,False
id-135,False,True,False,False
id-136,False,True,False,True
id-137,False,False,True,True
id-138,False,True,False,False
id-139,False,False,False,True
id-140,False,False,False,True
id-141,False,False,False,True
