uid,mod0,mod1,mod2,mod3
id-1,False,True,False,False
id-2,True,False,False,True
id-3,False,False,True,False
id-4,True,False,True,False
id-5,False,True,False,False
id-6,False,False,True,False
id-7,False,True,False,False
id-8,True,False,False,True
id-9,False,False,False,True
id-10,True,False,False,False
id-11,False,True,False,False
id-12,True,False,False,False
id-13,False,False,True,False
id-14,False,False,True,False
id-15,False,False,True,False
id-16,False,False,True,False
id-17,True,False,False,False
id-18,True,False,False,False
id-19,True,True,True,True
id-20,True,True,True,True
id-21,False,True,False,False
id-22,True,True,True,True
id-23,True,True,True,True
id-24,False,True,False,False
id-25,False,True,False,False
id-26,False,False,True,True
id-27,True,False,False,False
id-28,True,True,True,True
id-29,True,False,False,False
id-30,False,False,True,False
id-31,True,False,False,False
id-32,False,False,False,True
id-33,True,False,False,False
id-34,True,False,False,False
id-35,True,True,False,True
id-36,False,False,True,False
id-37,False,False,True,False
id-38,True,False,False,False
id-39,True,False,False,False
id-40,False,False,True,False
id-41,False,False,True,False
id-42,True,True,True,False
id-43,False,False,False,True
id-44,False,True,False,False
id-45,False,False,False,True
id-46,False,True,True,True
id-47,False,True,True,False
id-48,True,False,False,False
id-49,True,False,False,False
id-50,False,False,False,True
id-51,True,False,False,False
id-52,True,False,True,False
id-53,True,True,True,True
id-54,True,True,False,True
id-55,False,True,False,False
id-56,True,True,True,True
id-57,False,True,False,False
id-58,True,False,False,False
id-59,False,True,False,True
id-60,False,False,True,False
id-61,True,True,False,False
id-62,False,False,False,True
id-63,False,True,False,True
id-64,False,False,True,False
id-65,False,False,False,True
id-66,True,False,False,False
id-67,False,True,False,False
id-68,False,False,True,False
id-69,False,False,False,True
id-70,False,True,False,False
id-71,False,True,False,False
id-72,False,False,False,True
id-73,False,True,False,False
id-74,True,False,False,False
id-75,False,True,False,False
id-76,False,False,True,False
id-77,True,False,False,False
id-78,True,False,False,False
id-79,True,True,True,True
id-80,True,False,False,False
id-81,False,False,True,False
id-82,False,False,True,False
id-83,True,False,False,False
id-84,False,False,False,True
