uid,mod0,mod1,mod2,mod3,mod4,mod5
id-1,False,True,True,True,True,True
id-2,True,False,False,True,True,False
id-3,True,False,False,False,False,False
id-4,True,True,False,True,True,False
id-5,False,False,False,True,True,False
id-6,True,True,False,True,True,True
id-7,True,False,False,True,True,False
id-8,True,True,False,True,True,False
id-9,False,False,False,True,True,False
id-10,False,False,True,False,True,False
id-11,True,False,True,True,True,False
id-12,True,False,True,True,True,False
id-13,True,False,False,True,False,False
id-14,False,True,True,False,True,False
id-15,True,False,False,False,True,True
id-16,True,False,True,True,False,True
id-17,False,False,False,True,True,True
id-18,True,False,False,True,True,True
id-19,True,False,True,True,False,True
id-20,False,False,False,True,False,True
id-21,False,True,True,False,False,True
id-22,False,True,False,True,True,False
id-23,True,False,False,True,True,False
id-24,True,False,False,True,False,True
id-25,False,False,True,True,True,False
id-26,True,False,True,False,False,True
id-27,True,False,False,False,True,False
id-28,True,True,False,True,False,False
id-29,True,True,True,False,True,True
id-30,True,True,True,False,False,True
id-31,True,True,False,False,False,False
id-32,False,True,False,True,False,False
id-33,True,True,False,False,False,False
id-34,True,True,True,True,True,False
id-35,True,False,False,False,True,False
id-36,False,False,True,True,True,True
id-37,True,True,False,True,True,False
id-38,False,True,False,False,False,False
id-39,True,False,True,True,True,False
id-40,False,True,True,True,True,False
id-41,True,True,True,True,True,False
id-42,False,True,True,True,True,True
id-43,True,False,False,False,True,True
id-44,True,True,False,True,True,False
id-45,True,True,False,True,True,True
id-46,False,False,False,True,True,True
id-47,True,True,True,True,True,True
id-48,True,False,True,True,True,True
id-49,False,False,False,True,True,False
id-50,True,False,True,False,True,False
id-51,False,True,True,True,True,True
id-52,True,True,True,True,True,False
id-53,False,True,True,True,True,False
id-54,True,True,False,True,True,False
id-55,False,True,False,True,False,False
id-56,True,True,False,True,True,True
id-57,False,True,False,True,False,True
id-58,True,True,False,False,True,True
id-59,True,True,True,True,True,True
id-60,True,False,True,True,False,True
id-61,True,True,True,True,True,True
id-62,False,True,False,False,True,True
id-63,True,True,True,True,False,False
id-64,True,False,True,True,False,True
id-65,True,True,True,True,True,True
id-66,False,False,False,True,True,False
id-67,True,False,False,True,False,False
id-68,True,True,True,True,True,False
id-69,False,False,True,True,True,True
id-70,True,True,True,True,True,True
id-71,True,False,False,True,False,False
id-72,False,False,False,True,True,True
id-73,True,False,True,False,False,False
id-74,True,True,False,True,True,False
id-75,False,True,False,True,False,False
id-76,False,False,True,False,True,False
id-77,False,True,True,False,False,False
id-78,True,False,False,True,False,True
id-79,True,True,True,False,True,False
id-80,True,True,True,True,True,True
id-81,True,False,False,True,False,False
id-82,True,True,False,True,True,False
id-83,False,False,False,True,True,False
id-84,True,True,False,True,True,False
id-85,True,False,True,False,False,True
id-86,False,False,False,True,False,False
id-87,True,True,False,True,True,False
id-88,True,False,False,True,False,False
id-89,False,True,False,True,False,True
id-90,True,False,True,False,False,False
id-91,False,False,True,True,False,False
id-92,True,True,True,True,True,True
id-93,True,False,False,True,True,True
id-94,True,True,True,True,True,True
id-95,True,True,False,False,True,False
id-96,True,False,True,True,True,False
id-97,True,True,False,True,True,False
id-98,False,False,False,True,True,False
id-99,True,False,False,True,False,False
id-100,True,True,False,False,True,True
id-101,True,True,False,True,True,True
id-102,False,True,True,True,True,False
id-103,True,True,True,True,True,True
id-104,False,False,True,True,False,False
id-105,True,True,True,False,False,False
id-106,False,False,True,True,True,True
id-107,True,False,True,False,True,True
id-108,True,False,True,False,False,True
id-109,True,False,False,False,False,True
id-110,True,False,False,False,False,False
id-111,False,True,False,False,True,False
id-112,True,False,False,True,True,False
id-113,True,False,True,True,True,False
id-114,False,False,True,True,True,True
id-115,True,True,True,True,True,True
id-116,True,True,True,True,True,False
id-117,True,True,True,True,True,False
id-118,False,False,False,True,True,False
id-119,True,False,True,True,False,False
id-120,True,False,False,True,False,False
id-121,True,False,True,True,True,False
id-122,False,True,False,True,True,False
id-123,True,False,True,False,True,False
id-124,True,True,True,False,False,False
id-125,True,False,True,True,False,False
id-126,True,False,False,True,True,True
id-127,True,True,False,True,True,True
id-128,False,True,True,True,True,False
id-129,True,True,False,False,False,True
id-130,True,True,False,True,True,False
id-131,True,False,True,True,True,False
id-132,True,True,False,True,False,True
id-133,False,False,False,True,False,False
id-134,False,True,False,False,False,True
id-135,False,True,False,True,True,False
id-136,False,False,True,True,True,False
id-137,False,False,True,True,False,False
id-138,False,True,False,False,False,True
id-139,False,True,False,True,True,True
id-140,True,True,False,True,True,False
id-141,True,False,True,False,True,False
id-142,True,True,True,True,True,False
id-143,True,True,True,True,False,False
id-144,False,True,False,False,True,True
id-145,False,False,False,True,False,True
id-146,False,False,False,True,True,True
id-147,False,True,False,True,True,False
id-148,True,False,True,True,True,False
id-149,True,True,True,True,True,False
id-150,False,False,True,True,True,False
id-151,False,True,False,True,False,False
id-152,True,True,True,True,True,True
id-153,True,True,False,False,False,True
id-154,False,True,True,False,True,False
id-155,True,False,True,True,True,True
id-156,True,False,True,True,True,False
id-157,False,False,True,True,False,False
id-158,False,False,False,True,True,False
id-159,True,False,True,False,True,False
id-160,False,False,False,True,True,False
id-161,False,True,True,True,True,False
id-162,True,False,True,True,True,False
id-163,True,False,True,True,False,False
id-164,False,True,True,True,False,False
id-165,True,True,True,False,True,True
id-166,True,True,False,True,True,True
id-167,False,True,True,True,True,False
id-168,True,True,False,True,False,False
id-169,True,True,False,False,True,False
id-170,True,True,True,True,False,True
id-171,True,True,False,True,True,False
id-172,False,False,True,True,True,False
id-173,True,True,True,True,True,True
id-174,False,False,False,True,True,True
id-175,True,True,False,True,True,False
id-176,False,False,True,False,False,True
id-177,True,True,False,True,False,True
id-178,True,True,False,True,True,False
id-179,False,False,True,True,True,False
id-180,True,True,True,True,True,False
id-181,False,True,False,True,True,True
id-182,True,True,True,True,True,False
id-183,True,True,True,True,True,False
id-184,False,True,True,False,True,True
id-185,False,True,False,False,True,True
id-186,True,True,True,False,True,False
id-187,False,False,False,True,False,True
id-188,True,True,True,True,True,False
id-189,True,True,False,True,True,False
id-190,True,True,True,True,True,False
id-191,True,True,False,True,False,True
id-192,False,False,False,True,True,False
id-193,True,True,True,True,False,True
id-194,True,True,False,True,True,False
id-195,False,True,True,True,True,False
id-196,True,True,False,True,False,True
id-197,True,False,True,True,True,True
id-198,False,False,False,True,True,True
id-199,True,True,False,False,True,True
id-200,True,True,False,True,False,False
id-201,False,False,True,True,True,False
id-202,False,True,True,True,True,False
id-203,True,True,True,True,True,True
id-204,False,True,True,True,True,True
id-205,True,False,False,True,True,False
id-206,True,True,False,False,True,False
id-207,False,True,False,False,True,True
id-208,False,False,False,True,True,False
id-209,True,False,True,False,True,False
id-210,True,False,True,True,True,True
id-211,True,False,True,True,True,False
id-212,True,True,True,True,False,False
id-213,False,True,True,True,True,False
id-214,True,True,True,True,True,True
id-215,True,True,True,False,True,False
id-216,False,True,False,True,True,False
id-217,False,True,True,True,False,False
id-218,True,False,True,True,True,False
id-219,True,False,False,True,True,True
id-220,True,True,True,True,False,False
id-221,True,True,True,False,True,True
id-222,True,False,True,False,True,False
id-223,True,True,False,True,True,False
id-224,True,False,True,True,False,True
id-225,True,False,False,False,False,True
id-226,True,True,True,True,True,True
id-227,True,False,False,True,True,False
id-228,True,True,True,False,True,True
id-229,True,True,False,True,True,True
id-230,False,True,True,True,True,False
id-231,True,True,True,False,True,False
id-232,False,True,True,True,True,False
id-233,True,False,False,True,True,True
id-234,False,True,True,False,True,True
id-235,True,False,True,True,True,True
id-236,True,True,False,True,False,False
id-237,False,True,True,False,True,False
id-238,True,False,False,True,True,False
id-239,True,True,True,True,True,False
id-240,False,True,True,True,False,False
id-241,True,False,False,False,True,True
id-242,True,True,True,False,True,True
id-243,False,False,False,True,False,True
id-244,False,True,True,True,True,True
id-245,True,False,True,True,False,False
id-246,False,True,True,True,False,True
id-247,True,False,False,False,False,True
id-248,False,False,False,True,True,True
id-249,False,True,True,False,False,False
id-250,False,True,False,False,True,True
id-251,False,False,True,True,False,True
id-252,True,True,True,True,True,True
id-253,True,True,True,True,True,False
id-254,True,False,False,True,True,False
id-255,True,False,True,False,True,False
id-256,True,False,False,True,True,False
id-257,False,True,False,False,True,False
id-258,True,True,True,True,True,False
id-259,False,True,True,True,True,False
id-260,True,True,False,True,False,False
id-261,True,False,True,True,True,False
id-262,False,False,True,True,True,True
id-263,False,True,True,True,True,False
id-264,True,False,True,True,False,False
id-265,True,False,True,True,False,True
id-266,False,False,False,True,True,True
id-267,True,False,True,True,False,False
id-268,False,True,False,False,False,False
id-269,True,True,True,True,True,False
id-270,False,False,True,True,False,True
id-271,False,True,False,True,True,True
id-272,False,True,False,True,False,False
id-273,True,True,True,False,False,False
id-274,True,True,False,False,True,False
id-275,True,False,True,True,True,False
id-276,False,True,True,True,False,False
id-277,True,False,False,True,True,True
id-278,False,True,False,True,False,False
id-279,False,True,True,False,True,True
id-280,True,True,False,True,True,False
id-281,False,False,True,True,False,False
id-282,False,False,False,True,True,True
id-283,True,False,True,False,True,True
id-284,False,False,True,True,True,True
id-285,False,True,False,True,True,False
id-286,True,False,True,False,True,False
id-287,False,True,True,True,True,True
id-288,True,False,True,True,True,False
id-289,True,False,False,True,True,False
id-290,True,False,False,True,True,False
id-291,False,True,False,False,True,False
id-292,True,True,False,False,True,True
id-293,False,False,True,True,True,True
id-294,False,True,True,True,True,False
id-295,False,False,True,True,True,False
id-296,True,False,False,True,False,False
id-297,True,True,True,True,True,False
id-298,True,False,False,True,False,True
id-299,True,True,False,True,False,False
id-300,True,True,True,True,True,False
id-301,True,True,False,True,True,False
id-302,True,True,False,True,True,False
id-303,False,False,True,True,True,False
id-304,False,False,True,False,False,True
id-305,False,True,False,True,True,True
id-306,True,True,False,True,True,False
id-307,False,True,True,True,True,True
id-308,False,False,True,True,True,False
id-309,True,True,True,True,True,False
id-310,False,False,False,True,True,False
id-311,False,True,True,True,True,False
id-312,True,False,False,True,False,False
id-313,True,True,True,False,True,False
id-314,False,False,False,True,True,True
id-315,True,False,True,True,False,True
id-316,False,True,True,False,False,True
id-317,True,True,False,True,True,True
id-318,False,True,False,True,True,True
id-319,True,False,False,True,True,False
id-320,False,False,False,True,True,False
id-321,False,True,False,True,True,True
id-322,False,False,False,True,True,True
id-323,True,True,True,True,False,False
id-324,True,True,False,True,False,False
id-325,True,False,True,True,True,False
id-326,True,False,True,False,True,False
id-327,False,False,True,True,False,True
id-328,True,True,False,False,True,True
id-329,True,True,True,True,False,False
id-330,True,False,True,False,True,False
id-331,True,False,True,False,True,True
id-332,True,True,True,True,True,True
id-333,True,False,True,True,True,False
id-334,True,True,False,True,False,True
id-335,False,False,False,True,False,True
id-336,True,False,False,True,True,False
id-337,True,False,False,True,True,True
id-338,False,True,False,True,False,True
id-339,True,True,True,True,False,True
id-340,True,False,True,False,True,False
id-341,True,False,False,False,True,False
id-342,True,True,False,False,True,True
id-343,True,True,True,False,True,True
id-344,True,False,True,True,False,True
id-345,False,False,True,True,True,False
id-346,True,True,True,True,True,True
id-347,True,False,True,False,True,True
id-348,False,True,True,True,False,True
id-349,True,False,True,True,True,True
id-350,False,True,True,True,True,False
id-351,False,False,True,True,True,False
id-352,False,False,False,True,True,False
id-353,False,True,True,True,True,False
id-354,True,False,True,True,False,False
id-355,True,True,True,True,True,False
id-356,False,False,True,False,False,True
id-357,False,False,False,True,False,False
id-358,True,True,True,False,True,False
id-359,False,True,False,True,False,True
id-360,True,False,True,False,True,True
id-361,False,True,False,True,False,True
id-362,False,False,True,True,False,False
id-363,False,False,False,True,False,True
id-364,True,True,False,True,True,False
id-365,False,True,True,True,True,False
id-366,False,False,False,True,True,True
id-367,True,False,False,True,True,True
id-368,True,True,False,True,False,False
id-369,True,False,True,True,False,False
id-370,True,False,True,False,True,False
id-371,False,False,False,True,True,False
id-372,True,True,False,True,False,False
id-373,False,False,True,True,True,False
id-374,False,True,True,False,False,False
id-375,True,True,True,True,False,False
id-376,True,True,False,True,False,True
id-377,True,True,False,True,True,False
id-378,True,True,False,False,True,True
id-379,True,False,True,True,True,True
id-380,True,True,False,True,False,True
id-381,False,False,True,False,True,True
id-382,True,False,True,False,True,True
id-383,False,True,True,True,False,False
id-384,True,False,False,True,False,True
id-385,True,True,True,True,True,False
id-386,True,False,False,False,False,True
id-387,False,False,False,True,True,False
id-388,False,True,False,True,False,True
id-389,False,True,True,False,True,True
id-390,False,False,False,True,True,False
id-391,True,True,True,True,False,False
id-392,True,False,False,True,True,False
id-393,False,True,False,True,True,True
id-394,True,True,False,True,True,True
id-395,True,False,True,True,True,False
id-396,True,False,True,True,False,True
id-397,False,False,False,True,False,True
id-398,True,False,False,True,True,False
id-399,True,True,True,False,False,False
id-400,True,True,True,True,True,False
id-401,False,False,False,True,True,True
id-402,False,True,True,True,True,False
id-403,True,False,True,False,True,True
id-404,True,True,False,True,False,False
id-405,True,False,True,True,True,False
id-406,True,False,True,False,True,True
id-407,True,False,False,True,False,True
id-408,False,False,False,True,False,False
id-409,True,False,True,False,True,True
id-410,True,True,False,False,True,False
id-411,True,False,False,True,True,False
id-412,False,False,True,False,False,True
id-413,False,False,True,False,True,False
id-414,True,False,True,False,False,True
id-415,False,True,True,True,True,True
id-416,True,True,False,False,True,True
id-417,True,True,True,True,True,True
id-418,False,True,False,True,True,True
id-419,False,False,True,True,False,True
id-420,True,False,True,True,False,False
id-421,False,False,False,True,True,False
id-422,False,True,False,True,True,False
id-423,False,True,True,True,False,False
id-424,False,False,True,False,True,False
id-425,True,True,True,True,True,True
id-426,False,True,True,True,True,False
id-427,True,False,False,False,True,False
id-428,False,True,True,True,True,False
id-429,False,True,True,True,True,False
id-430,True,False,False,False,True,False
id-431,False,False,True,True,True,False
id-432,False,False,True,True,False,False
id-433,True,False,True,False,False,False
id-434,False,True,True,True,False,True
id-435,False,False,True,True,False,True
id-436,True,True,False,False,False,False
id-437,True,False,True,True,True,True
id-438,True,False,False,True,False,False
id-439,True,True,False,True,True,False
id-440,False,True,True,True,True,True
id-441,True,False,True,True,True,True
id-442,False,True,False,True,True,True
id-443,False,False,True,True,True,True
id-444,True,True,True,True,True,False
id-445,False,True,True,True,True,True
id-446,False,False,False,True,True,False
id-447,True,True,True,True,True,False
id-448,False,False,False,True,False,True
id-449,True,False,False,True,True,True
id-450,True,False,False,True,True,False
id-451,False,False,True,True,True,False
id-452,True,True,True,True,False,False
id-453,True,True,False,True,False,False
id-454,True,True,True,True,False,False
id-455,True,True,False,False,True,False
id-456,True,False,False,True,True,False
id-457,False,False,False,True,True,False
id-458,True,True,False,True,True,False
id-459,True,True,True,True,True,False
id-460,True,False,True,True,True,False
id-461,False,True,True,False,True,False
id-462,False,False,True,True,True,False
id-463,False,False,False,True,True,False
id-464,False,False,True,False,True,False
id-465,False,False,False,True,False,True
id-466,True,True,True,True,False,False
id-467,False,False,False,True,False,True
id-468,True,True,False,True,True,True
id-469,True,True,True,False,True,False
id-470,True,True,True,False,False,True
id-471,True,True,True,True,False,True
id-472,True,False,False,True,True,False
id-473,True,False,False,False,True,False
id-474,False,False,True,False,True,False
id-475,False,True,False,True,False,False
id-476,True,True,False,True,True,False
id-477,False,True,True,False,True,False
id-478,False,True,False,True,False,False
id-479,True,True,True,False,True,False
id-480,False,False,True,False,False,False
id-481,False,False,False,True,True,True
id-482,False,True,True,False,False,True
id-483,False,False,True,True,True,False
id-484,True,False,True,False,False,True
id-485,True,True,True,False,True,False
id-486,True,False,False,True,True,True
id-487,True,True,True,True,True,False
id-488,True,True,True,True,True,True
id-489,False,True,False,True,True,True
id-490,False,True,True,False,False,True
id-491,True,False,False,False,True,False
id-492,False,False,False,True,False,False
id-493,True,True,True,False,True,True
id-494,False,False,True,True,True,False
id-495,False,True,True,True,True,False
id-496,False,True,False,False,True,True
id-497,True,False,True,True,True,False
id-498,True,False,True,True,True,False
id-499,True,True,True,True,True,True
id-500,False,False,True,True,False,False
id-501,True,False,False,True,True,False
id-502,True,True,False,True,True,True
id-503,True,False,False,True,True,True
id-504,True,True,True,True,True,False
id-505,False,False,True,False,False,False
id-506,True,True,True,True,True,True
id-507,True,False,True,False,True,True
id-508,True,False,True,True,True,True
id-509,True,False,False,True,True,False
id-510,True,False,True,True,True,True
id-511,True,True,True,False,True,False
id-512,False,False,True,True,True,False
id-513,False,False,False,True,False,False
id-514,True,True,True,True,False,True
id-515,False,True,False,True,True,False
id-516,True,False,False,True,True,True
id-517,True,False,True,True,False,True
id-518,False,True,True,True,True,False
id-519,False,True,False,True,False,False
id-520,False,False,True,False,True,True
id-521,False,False,True,True,False,False
id-522,True,True,True,True,True,True
id-523,True,False,False,True,True,False
id-524,False,False,False,True,True,False
id-525,False,True,True,True,True,False
id-526,True,True,True,False,True,False
id-527,True,False,True,True,False,True
id-528,True,True,True,False,True,False
id-529,True,False,True,False,False,False
id-530,True,False,True,True,False,True
id-531,False,False,True,True,True,False
id-532,True,True,True,False,True,True
id-533,True,True,False,True,True,False
id-534,True,True,True,True,True,True
id-535,False,True,False,True,True,True
id-536,True,False,False,False,True,False
id-537,True,False,False,False,True,False
id-538,True,True,False,False,False,True
id-539,True,False,True,True,True,True
id-540,True,False,False,True,False,False
id-541,False,True,True,True,True,True
id-542,True,False,False,True,True,False
id-543,True,False,False,True,True,True
id-544,True,False,False,True,True,False
id-545,True,False,True,False,True,True
id-546,True,False,True,True,True,False
id-547,False,True,False,True,True,False
id-548,False,True,False,False,True,False
id-549,False,True,True,True,False,False
id-550,True,True,True,True,False,True
id-551,True,True,False,False,True,False
id-552,True,True,True,True,True,False
id-553,True,True,True,False,True,False
id-554,True,False,False,True,False,False
id-555,False,True,True,False,False,False
id-556,False,True,True,True,False,False
id-557,True,False,True,True,True,False
id-558,True,False,False,True,True,False
id-559,True,True,False,True,False,False
id-560,False,False,True,True,True,True
id-561,False,True,True,True,True,False
id-562,True,True,True,True,True,True
id-563,True,False,False,False,True,False
id-564,False,True,False,False,False,False
id-565,False,False,True,True,True,False
id-566,False,True,True,False,True,False
id-567,False,False,False,True,True,False
id-568,True,True,True,False,True,False
id-569,True,False,True,False,False,True
id-570,True,False,True,False,True,False
id-571,False,True,True,True,True,False
id-572,False,True,False,True,True,False
id-573,False,True,True,True,True,False
id-574,False,True,True,True,False,True
id-575,True,True,False,False,True,False
id-576,True,False,False,True,False,True
id-577,False,True,True,False,False,True
id-578,True,False,False,True,True,False
id-579,True,True,False,False,False,False
id-580,True,False,True,False,False,False
id-581,False,False,True,False,False,False
id-582,True,True,False,True,True,False
id-583,False,True,True,True,True,False
id-584,True,False,True,True,False,True
id-585,False,True,True,True,True,True
id-586,False,False,True,True,True,True
id-587,False,True,False,True,True,False
id-588,True,False,False,True,True,False
id-589,True,False,True,True,True,True
id-590,False,True,True,True,True,True
id-591,False,True,True,True,True,True
id-592,True,True,False,True,False,False
id-593,True,True,False,True,False,False
id-594,False,True,True,True,False,False
id-595,True,True,False,True,True,False
id-596,False,False,False,True,True,False
id-597,True,True,False,True,True,False
id-598,True,False,False,True,True,True
id-599,True,False,False,True,False,False
id-600,True,False,False,True,False,True
id-601,True,False,True,True,True,False
id-602,False,True,False,True,False,True
id-603,True,True,False,True,True,True
id-604,True,False,True,True,True,False
id-605,True,False,True,False,False,False
id-606,False,True,True,True,True,False
id-607,False,True,True,True,False,False
id-608,True,True,False,False,False,False
id-609,True,True,True,True,False,True
id-610,False,False,False,True,True,False
id-611,True,False,False,True,False,True
id-612,True,True,True,True,True,True
id-613,True,True,False,True,True,True
id-614,True,False,True,False,False,False
id-615,False,False,True,True,False,False
id-616,True,False,False,False,False,True
id-617,False,True,True,True,False,True
id-618,False,True,True,True,True,True
id-619,True,False,False,True,False,False
id-620,False,True,True,True,False,False
id-621,False,False,False,True,True,True
id-622,False,True,False,False,True,True
id-623,True,False,False,True,True,False
id-624,True,True,False,True,False,True
