uid,mod0,mod1,mod2,mod3,mod4,mod5
id-1,False,True,True,False,True,True
id-2,False,False,False,True,True,False
id-3,True,False,False,False,False,False
id-4,True,False,False,False,True,False
id-5,False,False,False,True,True,False
id-6,True,True,False,True,True,True
id-7,True,False,False,False,True,False
id-8,True,True,False,False,True,False
id-9,True,False,False,False,True,False
id-10,True,False,False,False,True,False
id-11,True,False,True,False,True,False
id-12,True,False,False,False,False,False
id-13,True,False,False,False,False,False
id-14,False,False,True,False,True,False
id-15,True,False,False,False,True,False
id-16,False,False,True,False,False,True
id-17,True,False,False,False,True,True
id-18,True,False,False,True,True,True
id-19,False,False,True,True,False,True
id-20,True,False,False,False,False,True
id-21,False,True,True,False,False,True
id-22,False,True,False,False,True,False
id-23,True,False,False,False,True,False
id-24,True,False,False,False,False,True
id-25,False,False,True,False,True,False
id-26,True,False,True,False,False,True
id-27,True,False,False,False,True,False
id-28,True,True,False,True,True,False
id-29,True,False,True,False,True,True
id-30,False,False,True,False,False,True
id-31,True,True,False,False,False,False
id-32,False,True,False,False,False,False
id-33,True,True,False,False,False,False
id-34,True,True,False,True,True,False
id-35,True,False,False,False,True,False
id-36,False,False,True,False,True,True
id-37,True,False,False,True,True,False
id-38,False,True,False,False,False,False
id-39,True,False,True,False,True,False
id-40,False,True,True,False,True,False
id-41,False,True,False,False,True,False
id-42,False,True,True,True,True,True
id-43,True,False,False,False,True,True
id-44,True,True,False,False,True,False
id-45,False,False,False,True,True,True
id-46,True,False,False,False,True,True
id-47,False,True,True,False,True,True
id-48,True,False,True,True,True,True
id-49,True,False,False,False,True,True
id-50,True,False,False,False,True,False
id-51,False,False,True,True,True,True
id-52,True,True,True,False,True,False
id-53,False,False,True,False,True,False
id-54,True,False,False,True,True,False
id-55,True,False,False,False,False,False
id-56,False,True,False,False,True,True
id-57,False,True,False,False,False,True
id-58,True,False,False,False,True,True
id-59,True,True,False,True,True,True
id-60,True,False,True,False,False,True
id-61,False,False,True,False,True,True
id-62,True,False,False,False,True,True
id-63,False,False,True,True,False,False
id-64,True,False,True,True,False,True
id-65,True,False,False,False,True,True
id-66,True,False,False,False,True,False
id-67,True,False,False,False,False,False
id-68,False,False,True,False,True,False
id-69,False,False,False,True,True,True
id-70,True,True,False,False,True,True
id-71,True,False,False,True,False,False
id-72,False,False,False,True,True,True
id-73,False,False,True,False,False,False
id-74,True,True,False,False,True,False
id-75,False,True,False,False,False,False
id-76,False,False,True,False,True,False
id-77,False,True,True,False,False,False
id-78,True,False,False,True,False,True
id-79,True,True,False,False,True,False
id-80,False,True,False,True,True,True
id-81,True,False,False,False,False,False
id-82,True,True,False,True,True,False
id-83,False,False,False,True,True,False
id-84,True,True,False,True,True,False
id-85,True,False,False,False,False,True
id-86,False,False,False,True,False,False
id-87,False,True,False,True,True,False
id-88,True,False,False,False,False,False
id-89,False,True,False,False,False,True
id-90,True,False,True,False,False,False
id-91,False,False,False,True,False,False
id-92,True,True,True,False,True,True
id-93,False,False,False,True,True,False
id-94,True,True,False,False,True,True
id-95,False,True,False,False,True,False
id-96,True,False,False,False,True,False
id-97,True,False,False,False,True,False
id-98,False,False,False,True,True,False
id-99,True,False,False,True,False,False
id-100,True,False,False,False,True,True
id-101,True,True,False,False,True,True
id-102,False,False,True,True,True,False
id-103,True,False,True,False,True,True
id-104,False,False,True,True,False,False
id-105,True,True,True,False,False,False
id-106,True,False,False,False,True,True
id-107,True,False,True,False,True,True
id-108,False,False,True,False,False,True
id-109,True,False,False,False,False,True
id-110,True,False,False,False,False,False
id-111,False,True,False,False,True,False
id-112,True,False,False,True,True,False
id-113,True,False,True,True,True,False
id-114,False,False,True,False,True,True
id-115,True,True,False,True,True,True
id-116,True,True,False,False,True,False
id-117,True,True,False,True,True,False
id-118,True,False,False,False,True,False
id-119,True,False,True,True,False,False
id-120,True,False,False,False,False,False
id-121,True,False,True,False,True,False
id-122,True,False,False,False,True,False
id-123,True,False,True,False,True,False
id-124,True,False,True,False,False,False
id-125,True,False,False,False,False,False
id-126,True,False,False,False,True,True
id-127,True,True,False,False,True,True
id-128,False,True,False,True,True,False
id-129,True,False,False,False,False,True
id-130,True,False,False,False,True,False
id-131,True,False,True,False,True,False
id-132,True,True,False,False,False,True
id-133,True,False,False,False,False,False
id-134,False,True,False,False,False,True
id-135,False,True,False,True,True,False
id-136,False,False,True,True,True,False
id-137,False,False,False,True,False,False
id-138,False,True,False,False,False,True
id-139,False,True,False,False,True,True
id-140,False,True,False,False,True,False
id-141,True,False,True,False,True,False
id-142,True,True,False,False,True,False
id-143,False,False,False,True,False,False
id-144,False,True,False,False,True,True
id-145,True,False,False,False,False,True
id-146,True,False,False,False,True,True
id-147,False,False,False,True,True,False
id-148,True,False,False,False,True,False
id-149,True,True,True,False,True,False
id-150,False,False,True,False,True,False
id-151,False,True,False,False,False,False
id-152,True,True,False,True,True,True
id-153,False,True,False,False,False,True
id-154,False,True,False,False,True,False
id-155,False,False,True,False,True,True
id-156,True,False,True,False,True,False
id-157,True,False,False,False,False,True
id-158,False,False,False,True,True,False
id-159,True,False,True,False,True,False
id-160,True,False,False,False,True,False
id-161,False,False,True,True,True,False
id-162,True,False,False,True,True,False
id-163,True,False,False,False,False,False
id-164,False,True,True,False,True,False
id-165,True,True,True,False,True,True
id-166,True,False,False,False,True,True
id-167,False,True,True,False,True,False
id-168,True,True,False,True,False,False
id-169,True,True,False,False,True,False
id-170,False,False,True,False,False,True
id-171,True,True,False,False,True,False
id-172,False,False,False,True,True,False
id-173,True,False,True,False,True,True
id-174,False,False,False,True,True,True
id-175,True,True,False,False,True,False
id-176,False,False,True,False,False,True
id-177,False,True,False,True,False,True
id-178,True,True,False,False,True,False
id-179,True,False,False,False,True,False
id-180,True,True,True,True,False,False
id-181,True,False,False,False,True,True
id-182,True,False,False,False,True,False
id-183,False,True,True,True,True,False
id-184,False,False,True,False,True,True
id-185,False,True,False,False,True,True
id-186,False,False,True,False,True,False
id-187,True,False,False,False,False,True
id-188,True,True,True,False,True,False
id-189,True,True,False,False,True,False
id-190,False,True,False,False,True,False
id-191,False,True,False,True,False,True
id-192,True,False,False,False,True,True
id-193,True,False,False,False,False,True
id-194,True,True,False,False,True,False
id-195,False,True,False,False,True,False
id-196,True,True,False,False,True,True
id-197,False,False,True,False,True,True
id-198,True,False,False,False,True,True
id-199,False,True,False,False,True,True
id-200,True,True,False,False,False,False
id-201,False,False,True,False,True,False
id-202,False,True,False,False,True,False
id-203,True,True,True,False,True,True
id-204,False,False,True,True,True,True
id-205,True,False,False,True,True,False
id-206,True,True,False,False,True,False
id-207,False,True,False,False,True,False
id-208,True,False,False,False,True,False
id-209,True,False,False,False,True,False
id-210,True,False,False,False,True,True
id-211,False,False,True,True,True,False
id-212,True,True,False,True,False,False
id-213,False,False,False,True,True,False
id-214,True,True,True,False,True,True
id-215,True,True,True,False,True,False
id-216,True,False,False,False,True,False
id-217,False,True,True,True,False,False
id-218,False,False,False,True,True,False
id-219,True,False,False,False,True,True
id-220,True,True,False,False,False,False
id-221,False,True,False,False,True,True
id-222,False,False,True,False,True,False
id-223,True,True,False,True,True,False
id-224,True,False,True,False,False,True
id-225,True,False,False,False,False,True
id-226,False,True,False,True,True,True
id-227,True,False,False,True,True,False
id-228,False,True,False,False,True,True
id-229,False,True,False,True,True,True
id-230,False,True,False,False,True,False
id-231,True,True,False,False,True,False
id-232,False,False,True,False,True,False
id-233,True,False,False,True,True,True
id-234,False,False,True,False,True,True
id-235,True,False,False,False,True,True
id-236,True,True,False,False,False,False
id-237,False,False,True,False,True,False
id-238,True,False,False,False,True,False
id-239,True,True,True,False,True,False
id-240,False,False,False,True,False,False
id-241,True,False,False,False,True,True
id-242,True,False,True,False,True,True
id-243,False,False,False,True,False,False
id-244,False,True,True,False,True,True
id-245,True,False,True,False,False,False
id-246,True,False,False,False,False,True
id-247,True,False,False,False,False,True
id-248,False,False,False,True,True,True
id-249,False,True,False,False,False,False
id-250,True,False,False,False,True,True
id-251,True,False,False,False,False,True
id-252,True,False,True,False,True,True
id-253,True,False,False,True,True,False
id-254,True,False,False,True,True,False
id-255,True,False,True,False,True,False
id-256,False,False,False,True,True,False
id-257,False,True,False,False,True,False
id-258,True,True,True,False,True,False
id-259,False,True,True,False,True,False
id-260,False,True,False,True,False,False
id-261,False,False,True,False,True,False
id-262,False,False,True,True,True,True
id-263,True,False,False,False,True,False
id-264,True,False,True,False,False,False
id-265,False,False,True,False,True,True
id-266,True,False,False,False,True,True
id-267,True,False,False,True,False,False
id-268,False,True,False,False,False,False
id-269,True,True,True,False,True,False
id-270,False,False,False,True,False,True
id-271,False,True,False,True,True,True
id-272,False,True,False,False,False,False
id-273,True,True,True,False,False,False
id-274,False,True,False,False,True,False
id-275,False,False,False,True,True,False
id-276,False,True,True,False,False,False
id-277,True,False,False,False,True,True
id-278,False,False,False,True,False,False
id-279,False,True,True,False,True,True
id-280,True,True,False,False,True,False
id-281,True,False,False,False,False,False
id-282,True,False,False,False,True,True
id-283,True,False,True,False,True,True
id-284,False,False,True,False,True,True
id-285,False,True,False,True,True,False
id-286,True,False,True,False,True,False
id-287,False,True,True,False,True,True
id-288,True,False,False,False,True,False
id-289,True,False,False,False,True,False
id-290,True,False,False,True,True,False
id-291,False,True,False,False,True,False
id-292,True,False,False,False,True,True
id-293,False,False,True,False,True,True
id-294,True,False,False,False,True,False
id-295,False,False,False,True,True,False
id-296,True,False,False,False,False,False
id-297,True,True,True,True,True,False
id-298,True,False,False,False,False,True
id-299,True,True,False,False,False,False
id-300,False,True,False,False,True,False
id-301,True,False,False,True,True,False
id-302,False,False,False,True,True,False
id-303,False,False,True,False,True,False
id-304,False,False,True,False,False,False
id-305,False,True,False,False,True,True
id-306,True,True,False,True,True,False
id-307,True,False,False,False,True,True
id-308,False,False,False,True,True,False
id-309,True,False,True,False,True,False
id-310,True,False,False,False,True,False
id-311,False,True,True,False,True,False
id-312,True,False,False,False,False,False
id-313,True,False,False,False,True,False
id-314,False,False,False,True,True,True
id-315,True,False,True,False,False,True
id-316,False,True,True,False,False,True
id-317,True,True,False,False,True,True
id-318,False,True,False,False,True,True
id-319,True,False,False,False,True,False
id-320,True,False,False,False,True,False
id-321,False,True,False,False,True,True
id-322,False,False,False,True,True,True
id-323,True,True,True,True,False,False
id-324,False,True,False,True,False,False
id-325,False,False,True,True,True,False
